feature,value
NM_001003689,0.0001656759514207
NM_005503,6.573766229823638e-05
NM_004672,0.000194565111035
NM_001008727,0.0001882949700855
Pro25G,0.0002338555702406
NM_020630,0.0002620238102484
BX094364,9.313477563995704e-05
ENST00000333722,0.0004904497664126
E1A_r60_a20,0.0001127265390192
NM_003927,0.0001838624832173
BC038371,0.0007976861049199
NM_153610,0.0009306494378366
NM_181645,0.0001010430134205
NM_032809,0.0009142108467828
NM_005656,9.182438261035448e-05
BE671816,9.722106693473752e-05
NM_015904,5.065740864903955e-05
A_32_P188127,8.864937392259095e-05
NM_015984,0.0001366101968055
AF230200,0.0001231330390112
NM_012325,0.0001612564195092
NM_021784,0.0001351744966397
NM_000201,0.0002487317217371
NM_018124,8.165781943948282e-05
NM_004950,0.0001445872234377
NM_018354,9.107315593619076e-05
THC2396617,0.0003053596570657
NM_015655,0.0001484731715849
THC2440913,0.0001606484299391
AK002200,0.0001962232873174
NM_005069,0.0003124307295954
NM_024411,0.0004213704376718
NM_021945,0.0002258072097438
NM_032772,0.000119435221092
NM_138375,0.0015085025695078
NM_002093,0.0001907199593805
NM_014109,0.0002273524223525
NM_178518,0.0001430569057277
NM_003239,0.0001934378712872
NM_198573,0.0001239052989413
NM_002508,0.0001289273750985
BC032822,0.0001683370337578
NM_016606,0.0016864307749061
NM_018666,9.971197763640877e-05
NM_014016,0.0004745504672848
NM_007006,0.0017791074659103
THC2345433,5.659742084876475e-05
A_24_P807445,0.0005988772240842
NM_018490,0.0005647928806253
A_24_P928031,0.0001039653813157
AK024925,9.410990693108316e-05
A_32_P83973,0.0004054467547024
NM_006639,0.0001533635467752
NM_152400,0.0001675592195107
NM_001008494,0.0001665120569768
NM_144601,0.0001123253703406
NM_032603,0.0010711468364174
NM_006649,0.0001764354422184
ENST00000284054,0.0007337077302567
AK094046,5.550660425560196e-05
NM_021224,0.0002217724575778
NM_024935,0.0001961314995179
BC058008,8.022269205414296e-05
NM_183377,0.0001581288526018
NM_005075,0.0001440698755723
THC2378360,0.0001186465698107
BC085019,0.0001392596159512
AK095688,0.0001360101796491
AK074449,0.0002346022679359
NM_001009569,0.0006802805756062
AK023633,0.0001349816628789
ENST00000324691,5.111391695043299e-05
NM_152525,0.0001501477481405
THC2304641,0.0001256269517036
BF238843,0.0001119722752873
NM_006137,0.0001485337503161
BC006134,0.0001224697846621
NM_006434,0.0001057877336452
NM_032667,0.0002239960870408
A_24_P616082,0.0001295413503749
NM_001739,7.074859075344269e-05
NM_015213,0.0002572335212591
NM_002871,0.0001137264668978
M31157,7.536224723719539e-05
NM_017832,0.0001843951655665
NM_021189,0.0001619332953946
NM_005740,0.0001072923525265
THC2283605,0.0001539730431413
NM_032861,0.0001937990900432
ENST00000329997,9.750663686515292e-05
NM_000960,0.0001924132221321
AK123254,0.0001472841045807
NM_033544,0.0001154445315355
NM_153006,0.0001259928938787
A_32_P102627,8.806168519101936e-05
NM_138360,0.0001901449118181
BC014384,0.0001626801046639
BF207040,0.0001616340771473
NR_002776,0.0002170177472387
NM_153218,0.0001177905836787
NM_014720,0.0001885315002609
NM_198236,0.0001378605763594
NM_000600,0.0001094667067895
NM_006808,0.0002209173077122
AB188491,0.0001261948304597
NM_015640,7.689569168266991e-05
ENST00000261275,0.0001060591012707
NM_002895,0.0001383119989883
NP659946,0.0008445827189623
THC2267829,0.0001991405875311
A_24_P153363,0.0002238122963453
BC010145,0.0002519211995341
NM_022451,7.183959239996765e-05
ENST00000361295,4.321154297539569e-05
AK055279,0.0002723104657672
THC2365641,0.0001205275942213
NM_147191,0.0001701937292219
NM_014711,7.02987665246725e-05
NM_000553,0.0002377205534287
NM_004339,0.0001561318389549
THC2314970,0.0001365752909753
THC2406168,0.000141688944209
NM_006503,0.0009339131539157
DA274457,0.0002711058273209
E1A_r60_a97,0.0001562879826598
THC2284082,0.0007397115046383
NM_000238,0.0001534435409421
THC2252199,0.0002371802283817
NR_001279,0.0002362073783468
NM_001005861,0.0001289577674332
NM_013943,0.0002692278316991
NM_020946,9.937081022094824e-05
NM_181531,0.0001076553039622
NM_153377,0.0001430738452902
ENST00000361681,0.0005425495814806
AK124766,0.0001714934180792
A_32_P158543,0.0002302133234947
AK000627,0.0001166627195989
A_24_P921832,9.167432697683338e-05
NM_005884,0.0001134009517441
NM_015666,0.0004269411579894
BC068044,0.0002331909304051
AK023773,0.000137358965583
ENST00000240560,0.0001415607407008
AK024162,7.397841995481576e-05
A_32_P205792,0.0002010128018461
ENST00000328411,0.0003701323592562
NM_001101,0.0011338528646239
AB033019,0.0001637269638692
NM_006325,0.0001303273526815
AF339813,0.0001365559140003
AF147440,0.0001093376546227
NM_004716,0.0001216541987822
AF130083,0.0001580181756812
NM_022756,0.0003451889386037
NM_006716,0.0001202260427614
NM_005840,0.0001483971165545
NM_175065,0.0005469695334063
ENST00000330710,0.000162041106471
ENST00000311061,0.0001464625049642
THC2381153,7.43863340101262e-05
AW935085,0.000101614173267
NM_031445,7.671323432492217e-05
NM_207106,0.0001071193222572
NM_018651,8.84070683233872e-05
E1A_r60_a104,7.168538354444538e-05
NM_004496,0.0001255115122692
NM_000319,0.0001468394379695
NM_032272,0.0001536080413287
NM_007102,0.0001528430813894
BC043166,0.0004490957741022
CR607811,0.000222040210686
NM_001456,0.0002595109017834
AK026099,5.787927690362708e-05
NM_000697,0.0001520241839939
NM_020943,6.882529500727512e-05
NM_199350,0.0001707534757458
NM_182761,0.000121319406688
NM_003295,0.0001207126947301
NM_032664,0.0001307195741458
NM_005000,0.0001108419772374
ENST00000253728,7.80892530027019e-05
NM_017453,0.0001014745885918
THC2340757,0.0001232648270716
AI278811,0.0008143086721829
NM_004310,0.0001652171025647
NM_007147,0.0001676347339575
NM_014708,0.0001244366510496
NM_032160,0.000683142934362
NM_022481,0.0001495431664984
NM_007315,0.0001358739972072
NM_144643,9.495072318355936e-05
