,PC 1 (0.47177301247685427),PC 2 (0.12337552811604868),type
GSM1431259_010312_252800416157_S01_GE1_107_Sep09_1_1,0.8325160384443823,0.2965140327122144,DCIS
GSM1431260_010312_252800416157_S01_GE1_107_Sep09_1_2,1.3268479036046774,-0.2550566827337896,DCIS
GSM1431262_010312_252800416157_S01_GE1_107_Sep09_1_4,0.9850334824897308,0.04576784342871597,DCIS
GSM1431264_010312_252800416157_S01_GE1_107_Sep09_2_2,-0.3535721467217666,-0.947537494868769,DCIS
GSM1431266_010312_252800416157_S01_GE1_107_Sep09_2_4,0.47659990821224335,0.06986800336054115,DCIS
GSM1431269_010312_252800416180_S01_GE1_107_Sep09_1_3,1.0086260961848674,-0.010157895978393004,DCIS
GSM1431270_010312_252800416180_S01_GE1_107_Sep09_1_4,1.3509190624158163,-0.6956423703563813,DCIS
GSM1431272_010312_252800416180_S01_GE1_107_Sep09_2_2,0.5133616874046422,0.43134757171431104,DCIS
GSM1431273_010312_252800416180_S01_GE1_107_Sep09_2_3,-0.10762028863498717,0.6354107162921201,DCIS
GSM1431274_010312_252800416180_S01_GE1_107_Sep09_2_4,0.4513987637368853,-0.8171225104413379,DCIS
GSM1431276_060312_252800416158_S01_GE1_107_Sep09_1_2,1.3806900807034481,-0.7641239250812385,DCIS
GSM1431277_060312_252800416158_S01_GE1_107_Sep09_1_3,0.6929880501492435,0.012068115612107938,DCIS
GSM1431280_060312_252800416158_S01_GE1_107_Sep09_2_2,0.42188909612019737,0.6133595780524588,DCIS
GSM1431281_060312_252800416158_S01_GE1_107_Sep09_2_3,0.9058471391768047,-0.8865660517644584,DCIS
GSM1431284_130312_252800416159_S01_GE1_107_Sep09_1_2,0.3604291471088378,-0.21032552492462317,DCIS
GSM1431286_130312_252800416159_S01_GE1_107_Sep09_1_4,1.1730012520614572,0.6365134827423178,DCIS
GSM1431288_130312_252800416159_S01_GE1_107_Sep09_2_2,0.9010097832124891,0.12146460811493744,DCIS
GSM1431289_130312_252800416159_S01_GE1_107_Sep09_2_3,-0.41280281044208184,-0.5141207953630927,DCIS
GSM1431291_170212_252800416178_S01_GE1_107_Sep09_1_1,0.9893363201772547,-0.06072253647228509,DCIS
GSM1431292_170212_252800416178_S01_GE1_107_Sep09_1_2,0.6931155282947039,-0.43288856773117723,DCIS
GSM1431293_170212_252800416178_S01_GE1_107_Sep09_1_3,1.1061936610580314,0.3125395805325277,DCIS
GSM1431294_170212_252800416178_S01_GE1_107_Sep09_1_4,0.9929084287344594,-0.6607508423788374,DCIS
GSM1431295_170212_252800416178_S01_GE1_107_Sep09_2_1,1.4694900789677248,0.2122938572789311,DCIS
GSM1431297_170212_252800416178_S01_GE1_107_Sep09_2_3,0.6161882963008531,0.8611804800706658,DCIS
GSM1431300_210312_252800416184_S01_GE1_107_Sep09_1_2,0.9497264453547535,-0.2144448463705514,DCIS
GSM1431301_210312_252800416184_S01_GE1_107_Sep09_1_3,1.0720988556057942,-0.09898022541058106,DCIS
GSM1431302_210312_252800416184_S01_GE1_107_Sep09_1_4,1.2884305783178902,-0.021906558235412446,DCIS
GSM1431305_210312_252800416184_S01_GE1_107_Sep09_2_3,1.0302200722108412,0.01626649140623879,DCIS
GSM1431306_210312_252800416184_S01_GE1_107_Sep09_2_4,0.8110295678083456,-0.2972116368826577,DCIS
