,wt-SNE 1,wt-SNE 2,type
GSM1823702_252800417016_S01_GE1_107_Sep09_1_2,6.6298926539495,-6.345707811383439,normal
GSM1823703_252800417016_S01_GE1_107_Sep09_2_1,-3.026699703253529,-1.4759392204615567,normal
GSM1823704_252800416877_S01_GE1_107_Sep09_2_3,0.8580750939282019,-10.098397224373311,normal
GSM1823705_252800416894_S01_GE1_107_Sep09_1_1,8.242171930385249,1.291564932133457,normal
GSM1823706_252800416894_S01_GE1_107_Sep09_1_3,7.960415250700613,1.7572574075984597,normal
GSM1823707_252800416894_S01_GE1_107_Sep09_2_1,8.730718549340821,1.398287669061373,normal
GSM1823708_252800416894_S01_GE1_107_Sep09_2_3,9.373761376492027,1.011427756940617,normal
GSM1823709_252800416859_S01_GE1_107_Sep09_1_1,7.972711388555415,-8.65039181561875,normal
GSM1823710_252800416923_S01_GE1_107_Sep09_1_1,5.686987460319007,-4.118972054988615,normal
GSM1823711_252800416923_S01_GE1_107_Sep09_1_3,3.5278912757825807,-0.8890837804734469,normal
GSM1823712_252800416923_S01_GE1_107_Sep09_2_1,9.281199612682089,-2.2431953918750254,normal
GSM1823713_252800416879_S01_GE1_107_Sep09_1_1,1.0407735655129693,2.4385565026117892,normal
GSM1823714_252800416923_S01_GE1_107_Sep09_2_3,7.008432105235138,-0.8662163945124847,normal
GSM1823715_252800416880_S01_GE1_107_Sep09_1_1,5.159669345509062,-3.1957844054140625,normal
GSM1823716_252800416880_S01_GE1_107_Sep09_1_3,10.095453221777634,-0.18642377525599876,normal
GSM1823717_252800416920_S01_GE1_107_Sep09_1_2,4.312204352111226,-6.81291289505065,normal
GSM1823718_252800416870_S01_GE1_107_Sep09_2_1,2.3990493269760704,-13.850927783708364,normal
GSM1823719_252800416870_S01_GE1_107_Sep09_2_4,2.4482796838458536,-13.870699564637047,normal
GSM1823720_252800416871_S01_GE1_107_Sep09_1_3,-0.24050286420113837,-10.176342417164799,normal
GSM1823721_252800416880_S01_GE1_107_Sep09_2_1,7.521576165181509,-1.0216845776698396,normal
GSM1823722_252800416871_S01_GE1_107_Sep09_1_4,-2.070344114616346,-2.4744215362132382,normal
GSM1823723_252800416871_S01_GE1_107_Sep09_2_3,0.7289416708825207,-9.104607399013448,normal
GSM1823724_252800416871_S01_GE1_107_Sep09_2_4,-0.671925621615426,-7.1825060115557555,normal
GSM1823725_252800416873_S01_GE1_107_Sep09_1_4,-0.5937703780373511,-8.946165530591184,normal
GSM1823726_252800416873_S01_GE1_107_Sep09_2_3,-0.4941432726660777,-9.169299593594532,normal
GSM1823727_252800416903_S01_GE1_107_Sep09_1_3,1.5174959148316576,-1.620656228508413,normal
GSM1823728_252800416903_S01_GE1_107_Sep09_1_4,0.7435547716723135,-5.0998213379536885,normal
GSM1823729_252800416903_S01_GE1_107_Sep09_2_3,1.8848206354242634,-2.7185727253703065,normal
GSM1823730_252800416903_S01_GE1_107_Sep09_2_4,-0.8346049349498321,2.3874622431980095,normal
GSM1823731_252800416904_S01_GE1_107_Sep09_1_3,1.6802712717577892,-8.416649378756398,normal
GSM1823732_252800416881_S01_GE1_107_Sep09_2_1,5.887724110613756,3.5878660540742655,normal
GSM1823733_252800416905_S01_GE1_107_Sep09_2_4,2.7969345654860174,0.3908944616954415,normal
GSM1823734_252800416905_S01_GE1_107_Sep09_1_3,-0.7073158944399618,-9.61924153545194,normal
