,wt-SNE 1,wt-SNE 2,type
909,-0.4296335278068673,1.4822651778887972,normal
911,-4.915308909151013,-0.06001717614767805,normal
913,0.4349060301813077,-2.0480473251804305,normal
916,-6.473605015579875,1.4788704299541424,normal
917,-5.848242153608405,-1.3956461169103016,normal
920,-1.4343026280957514,0.3414755805156634,normal
922,-0.8338529973891121,-0.6742347280208614,normal
924,-0.24095977775401348,0.5815712787298043,normal
925,-4.0073855300748535,1.3193352900708044,normal
928,-1.58351830133275,0.8952755717885327,normal
929,3.9428489468815666,-2.927606929592165,normal
931,-3.568281903070021,1.925881993139582,normal
933,-4.065415088794918,2.571713074856674,normal
934,-0.5417675152310791,0.11871640609147165,normal
936,-1.4424979047069253,1.1165995647251503,normal
937,-0.8783189644525935,2.2044436035080532,normal
939,-5.225179023743821,-1.296491294201006,normal
941,-4.658256682657619,1.494371925655736,normal
944,-0.7757729230833754,1.362741934269699,normal
945,-0.5816248030187846,1.4035746778582787,normal
946,-2.3328651128413775,1.7117233499601943,normal
948,-4.808076340255978,2.9643754918297636,normal
953,-2.1876410932514916,-3.190712002304286,normal
956,-5.060324513471293,-1.1218255517929696,normal
959,-4.556635134252458,-1.01772276271913,normal
961,-6.077429204456169,-1.3300903624396931,normal
964,-7.036321736555589,1.4106013328605715,normal
966,-2.0302477641061594,-1.1632776270820697,normal
968,-1.5265726483586917,-0.13230420534323256,normal
970,-0.12487738982222099,2.8774442769807362,normal
974,-0.38794170592836774,2.412322577513418,normal
975,-7.405906393943493,0.2546856215332316,normal
976,-6.750260435411189,1.1242521662801874,normal
978,-0.8565814482256571,1.9805562944668933,normal
981,3.644542687437046,0.8349922742408832,normal
983,4.600819705180869,-3.4782194753332996,normal
984,-4.967643901255833,3.0733366303758047,normal
986,0.5268327253754774,1.3971846955544158,normal
988,1.38462180737302,2.6880815357804084,normal
991,0.7013438615309557,3.308661425566457,normal
994,0.5970254952700057,1.7614853937124124,normal
995,-4.118522125398799,-3.639266917342531,normal
997,0.566431966948643,2.7332425358837495,normal
1,0.4071331410333063,0.14432797794276825,normal
3,0.30549002685451965,-0.3762089646098902,normal
5,0.9531365792914361,0.9580266941027078,normal
6,0.5835646352434755,0.7767471714549288,normal
8,3.3441997612391203,-3.631439071045672,normal
10,0.821179921345592,-1.0829153927566133,normal
13,1.0905549799541947,2.398967776883208,normal
14,1.2479706877145518,1.1976349182160826,normal
16,0.9371073634368365,1.9367809055600114,normal
18,-4.43234618249191,0.9016277260308801,normal
910,-1.128492311379148,-2.6060975773167496,tumoral
912,4.8138610693663,2.874291230423256,tumoral
914,4.48103840518403,-3.9004628841956697,tumoral
915,-6.504736907419801,1.2452640306322276,tumoral
918,4.421841898751675,2.361238392828532,tumoral
919,-5.465559090287052,-1.9816026804798907,tumoral
921,-2.8111738439378633,2.4466848814738866,tumoral
923,4.85971863980359,2.086221535435665,tumoral
926,5.914391314110524,-0.5846599181264284,tumoral
927,4.5979003179286515,-0.7766217259234565,tumoral
930,2.4216701549283046,-3.0548420784400565,tumoral
932,4.062797628559298,1.7124342987495798,tumoral
935,5.228324133539579,0.24843189658877765,tumoral
938,3.885161649102407,-3.0102487870293966,tumoral
940,-6.578152700728919,-1.5621084182700837,tumoral
942,-6.457050828990126,-2.2732513339529494,tumoral
943,3.3911840454162805,-2.415173586607121,tumoral
949,-1.0510565071355693,-2.9328546302418395,tumoral
951,1.336030195545195,-2.795337441628116,tumoral
952,3.671627408037302,1.8798255819022018,tumoral
954,-2.11312502730387,-0.12054181405521237,tumoral
955,1.7565887452174946,-2.8235831422620934,tumoral
957,1.6642633801411002,4.8948559287897675,tumoral
958,-1.0576223522280424,-2.692749394006647,tumoral
960,-3.297962928447975,0.394193650474145,tumoral
962,1.4214824421559455,-0.2615037115924285,tumoral
963,4.464145493725978,-3.3660089485429903,tumoral
965,5.077254536167983,1.205017312670783,tumoral
967,2.7966617458999043,-2.2929768178821157,tumoral
969,5.673965126492179,1.7291315083008665,tumoral
971,5.361178986242554,-0.11207593982751063,tumoral
972,-0.2801575449189901,1.8308625640533378,tumoral
973,6.232537052826213,2.532986750087883,tumoral
977,4.547448007500924,1.2124747840505543,tumoral
979,4.529556564465849,-0.5563538788862059,tumoral
980,4.400914249231333,0.9602763722773773,tumoral
982,3.6130307801809938,0.5812063346318553,tumoral
985,1.773453455717348,-1.5474195037711755,tumoral
989,1.0019596251204061,-5.333607362414634,tumoral
990,3.1589592693788004,0.09114951252110996,tumoral
996,-4.2345654549809595,-3.6104615136303497,tumoral
998,6.830653995112698,0.7093959918652057,tumoral
0,-0.7311817253995465,-1.720169200494509,tumoral
2,2.4796502925902515,2.2900816736389795,tumoral
4,-3.6105235826077338,-2.231352628652188,tumoral
7,-2.605103364949114,-1.7319440329247604,tumoral
9,-0.17576922211104754,-4.456787137946845,tumoral
11,3.731213618346101,3.8119162786206044,tumoral
12,2.582457736879415,1.0004976268410228,tumoral
15,2.565962325915813,-5.372467405031462,tumoral
17,1.9510727004525843,-3.5115408289834145,tumoral
19,3.476682860077299,2.9584968072984177,tumoral
