,PC 1 (0.40513908837128076),PC 2 (0.17925155327700118),type
909,-0.26063700010817425,-0.5921787683005612,normal
911,-0.854569875994088,-0.16035571160109072,normal
913,-0.1856776539118334,0.25914571943907916,normal
916,-0.6066445708067337,0.7990905913366438,normal
917,-0.618334002029883,0.10859717489989207,normal
920,-0.7393528779629206,-0.7323511574649381,normal
922,0.03961294316948708,-0.44614308848570994,normal
924,-0.755285185045179,-0.39125703152333313,normal
925,-0.5418070050362532,0.28543605737316236,normal
928,-0.2815491258695948,-0.4814731193992275,normal
929,-0.9679284114883864,1.028184285089632,normal
931,-1.0971561890176549,0.2051418019475288,normal
933,-0.8694195280306816,0.11277494489012731,normal
934,-0.6730719115279298,-0.4584358830756469,normal
936,-0.49332504832815277,-0.32806257372272235,normal
937,-0.8190708463385235,-0.6010978145590808,normal
939,-0.5525070546017504,-0.05881800599289332,normal
941,-0.9774658323551664,0.5280812895217136,normal
944,-0.807706165530207,-0.5357499363382147,normal
945,-0.535874748703178,-0.374074648177126,normal
946,-0.5647587866716625,-0.5776783172973001,normal
948,-1.053346002930126,0.04425640321689353,normal
953,0.6329005876556175,0.052701563807813864,normal
956,-0.8915458185418278,0.12779546160740754,normal
959,-0.7103524721434799,0.4179072558460893,normal
961,-0.6634174741222847,0.49139261736962137,normal
964,0.39790529559499205,0.5747894401543805,normal
966,-0.42306927273984374,-0.11125461894257888,normal
968,-0.20654429331310678,-0.45437277595046177,normal
970,-0.060358770193585085,-0.7032727181737279,normal
974,-0.2767704080180999,-0.545915220833117,normal
975,-0.05055898325574552,0.454047756404453,normal
976,0.14799323836465864,-0.027850998925561934,normal
978,-0.5157239840097816,-0.452090146486143,normal
981,0.31417033719066917,-0.15138520033551933,normal
983,-1.0700834823432788,1.88685950375807,normal
984,-0.8254303642920632,0.01626059009491589,normal
986,-0.548686250402823,-0.4903925803889759,normal
988,-0.7017506612049698,-0.4585359367404412,normal
991,-0.5421562850223739,-0.4519494774329136,normal
994,-0.45990404804000296,-0.2863303384066566,normal
995,-0.8767889378082273,0.10458246224807574,normal
997,-0.10213295567742697,-0.7506720947486437,normal
1,-0.5261737678868155,-0.25514958377042846,normal
3,-0.3095822745720567,-0.40026299383846276,normal
5,-0.6393870293118101,-0.5157975309067431,normal
6,-0.28923162237201483,-0.6068975416910427,normal
8,-0.9991924049502139,0.9106108299627591,normal
10,-0.6341048318907861,0.33693756972063205,normal
13,-0.8150530306541369,-0.5523042779964633,normal
14,-0.7560368277517765,-0.18219191910754426,normal
16,-0.4741754173624831,-0.3467919266731312,normal
18,-1.0978068169298822,-0.3957341409212932,normal
910,0.8094167522171771,-0.1060900959353277,tumoral
912,0.7289919547422747,-0.2111818213403712,tumoral
914,0.17872536135604838,0.7299290207919507,tumoral
915,-0.22960857706325496,0.7493080589216358,tumoral
918,0.7423188612423696,-0.08088298714214297,tumoral
919,0.4853430757357485,0.38042893016340706,tumoral
921,0.6534130447152977,-0.2201314334582795,tumoral
923,0.8970394612003069,0.050891803686206154,tumoral
926,0.7228267494871872,0.09938086386843979,tumoral
927,0.9813688957053515,-0.05926978040340528,tumoral
930,1.004974294236825,0.12922165277969647,tumoral
932,0.8337739538977267,-0.15308796069499409,tumoral
935,1.0202001276968833,-0.06715803107080559,tumoral
938,0.6420607072893614,-0.33277644626576847,tumoral
940,-0.5699615202321888,0.8360112493557748,tumoral
942,0.19311939724770724,0.5947442592578737,tumoral
943,-0.2561599428016991,0.35362636578135603,tumoral
949,0.8011256644262622,0.11546535513876549,tumoral
951,0.5669908937843116,0.1466369556384837,tumoral
952,0.5966933738356833,-0.14740562965165052,tumoral
954,-0.4813450086749839,-0.5300232461757368,tumoral
955,0.6869134160158511,0.1478738445099464,tumoral
957,0.9510245807210798,-0.1858732016965282,tumoral
958,0.8839287100774335,0.1543310950234796,tumoral
960,0.82846305363915,0.07461695191052446,tumoral
962,0.2382407160705083,-0.014985862414649026,tumoral
963,-0.42998217883089457,1.274621982356648,tumoral
965,1.0557820550242654,0.021793258981082933,tumoral
967,0.3865385075300975,-0.020900056727836805,tumoral
969,0.8622124044271393,-0.14604121690213698,tumoral
971,0.7257836976262801,0.42230374127348047,tumoral
972,-0.13454712912704692,-0.33365006986948076,tumoral
973,0.7259389757278761,-0.2285573869512475,tumoral
977,0.8101623218188881,-0.21174439828412725,tumoral
979,0.7252266844883577,0.14909236575428986,tumoral
980,1.1129942431582387,-0.05575703624022718,tumoral
982,0.6887457758039136,-0.17321290531524858,tumoral
985,0.05242376463462006,0.3965938034646821,tumoral
989,0.633459661154207,-0.15409278277987787,tumoral
990,0.8396237010381902,0.14194656315819135,tumoral
996,-0.38820471536758316,-0.10830739036826567,tumoral
998,0.7169047664062903,0.17034965255963544,tumoral
0,0.7022537693144494,0.03344404680210894,tumoral
2,0.49201979092492093,-0.23827864929377612,tumoral
4,0.1377983605736019,0.7118698272204033,tumoral
7,0.573450282203365,0.1948398505498451,tumoral
9,0.6756302219159351,0.2734168629017013,tumoral
11,0.7216943926897655,0.3545265172679254,tumoral
12,0.4720684988798671,-0.1194324485478976,tumoral
15,0.4626812096544939,0.25668161000936524,tumoral
17,0.7248821044553035,-0.05382078883135755,tumoral
19,0.9335047424305959,0.12094989675304058,tumoral
