,PC 1 (0.16118581200325935),PC 2 (0.06472390832128944),type
GSM705467.CEL.gz,48.32429625947985,23.974012673375032,B-CELL_ALL
GSM705468.CEL.gz,85.27707571895934,-37.30804430924419,B-CELL_ALL
GSM705469.CEL.gz,-38.46238832549851,24.14762840543668,B-CELL_ALL
GSM705470.CEL.gz,-7.344563800176467,24.046165112001987,B-CELL_ALL
GSM705471.CEL.gz,-10.443754948819501,-37.2582622950776,B-CELL_ALL
GSM705472.CEL.gz,68.88760154831228,-29.983329393968585,B-CELL_ALL
GSM705473.CEL.gz,0.6901046081214937,-30.840351665837492,B-CELL_ALL
GSM705475.CEL.gz,-2.1632346074088384,-18.23663194284963,B-CELL_ALL
GSM705476.CEL.gz,-53.97542609213833,-27.038026144998938,B-CELL_ALL
GSM705482.CEL.gz,-61.357384150511066,-31.815469329899155,B-CELL_ALL
GSM705483.CEL.gz,-55.90386280653877,-3.711469955944005,B-CELL_ALL
GSM705484.CEL.gz,0.09098974215630218,2.3491331678156406,B-CELL_ALL
GSM705485.CEL.gz,-109.00059102161843,35.752888533322796,B-CELL_ALL
GSM705486.CEL.gz,10.774636173509894,-17.287798473533343,B-CELL_ALL
GSM705487.CEL.gz,-17.93587953531246,-16.53850731310824,B-CELL_ALL
GSM705488.CEL.gz,-4.599727869977386,-21.96315948483146,B-CELL_ALL
GSM705648.CEL.gz,-49.81935210510029,-16.35780025873479,B-CELL_ALL
GSM705649.CEL.gz,21.914828883476684,-3.405435880239623,B-CELL_ALL
GSM705650.CEL.gz,5.148367036737911,41.91032353091578,B-CELL_ALL
GSM705651.CEL.gz,-120.14787819785879,-26.052367682381302,B-CELL_ALL
GSM705652.CEL.gz,-27.83907252360986,-47.71093472863548,B-CELL_ALL
GSM705653.CEL.gz,62.52760633462564,-7.670117547069085,B-CELL_ALL
GSM705654.CEL.gz,100.13450043905009,17.733539041957897,B-CELL_ALL
GSM705655.CEL.gz,26.282433143973417,-9.65842239785925,B-CELL_ALL
GSM705657.CEL.gz,92.93761304105576,-62.97165082644751,B-CELL_ALL
GSM705658.CEL.gz,90.17760567080857,-10.93123393903137,B-CELL_ALL
GSM705659.CEL.gz,25.878772321379078,-45.23288871054797,B-CELL_ALL
GSM705660.CEL.gz,83.04446017541937,-25.95168208640738,B-CELL_ALL
GSM705661.CEL.gz,-62.045228471669304,17.64636580662746,B-CELL_ALL
GSM705663.CEL.gz,6.911656304742539,-19.430317376590896,B-CELL_ALL
GSM705664.CEL.gz,-22.33595671046135,27.898505321913337,B-CELL_ALL
GSM705665.CEL.gz,-37.31536288447105,-26.947317739435963,B-CELL_ALL
GSM705673.CEL.gz,51.22944532100307,-0.07599701160110676,B-CELL_ALL
GSM705712.CEL.gz,6.103864949628749,14.835870458785413,B-CELL_ALL
GSM705715.CEL.gz,96.74581092889353,-47.73413439803581,B-CELL_ALL
GSM705717.CEL.gz,22.364008498218144,-10.6065424875172,B-CELL_ALL
GSM705721.CEL.gz,5.002604403274626,29.967422395366075,B-CELL_ALL
GSM705722.CEL.gz,-23.373153750785956,19.152605190746705,B-CELL_ALL
