,PC 1 (0.15877540303145893),PC 2 (0.07271267420063095),type
GSM362958.CEL.gz,-40.953753706525006,34.5302064682092,HCC
GSM362959.CEL.gz,-14.05142386807778,72.05811094495157,HCC
GSM362960.CEL.gz,10.337729102057503,83.31994581801789,HCC
GSM362964.CEL.gz,-2.6099016657417256,27.97272140886905,HCC
GSM362965.CEL.gz,-1.6921869055856773,43.95813324544903,HCC
GSM362966.CEL.gz,4.93208253381871,14.887227251448197,HCC
GSM362970.CEL.gz,-32.456552558842716,9.157929448645323,HCC
GSM362971.CEL.gz,64.7617118265543,24.206768674482934,HCC
GSM362972.CEL.gz,16.91890672376824,7.3248896877154985,HCC
GSM362976.CEL.gz,-1.9782988275290185,-24.506609750101678,HCC
GSM362977.CEL.gz,64.52564810446943,31.00140068715584,HCC
GSM362978.CEL.gz,3.1384723909663994,0.07734285498082565,HCC
GSM362982.CEL.gz,-64.65423292813198,0.8738954260064635,HCC
GSM362984.CEL.gz,8.221481083637514,-4.05499500761023,HCC
GSM362986.CEL.gz,-90.41959670223744,4.426236294333925,HCC
GSM362988.CEL.gz,-41.31142271863455,11.97726762925409,HCC
GSM362992.CEL.gz,-41.21934046558142,9.391712407928198,HCC
GSM362993.CEL.gz,-81.5142876816219,-0.9438244027254781,HCC
GSM362994.CEL.gz,-16.477856823198877,15.370255923035128,HCC
GSM363008.CEL.gz,10.327501740359049,47.421947939130405,HCC
GSM363009.CEL.gz,-49.92494847834844,60.49026233384344,HCC
GSM363010.CEL.gz,42.774974565977516,112.58975850141056,HCC
GSM363011.CEL.gz,-94.40337668849483,17.144764636301336,HCC
GSM363012.CEL.gz,14.302061584968712,2.688856766345023,HCC
GSM363013.CEL.gz,-66.80261685935051,15.056158082137072,HCC
GSM363015.CEL.gz,-72.97715444464036,1.1447276316071557,HCC
GSM363016.CEL.gz,-14.51468893854603,-17.483605112959996,HCC
GSM363017.CEL.gz,-59.33772556383266,24.99005852213689,HCC
GSM363029.CEL.gz,-58.176188183093274,-6.289643999602252,HCC
GSM363030.CEL.gz,-69.37384024780133,62.37429157635623,HCC
GSM363031.CEL.gz,-15.036057600887599,32.093004054405014,HCC
GSM363032.CEL.gz,-61.300364921290246,62.893057330830494,HCC
GSM363033.CEL.gz,-48.55456048858233,69.60852182646528,HCC
GSM363034.CEL.gz,-14.500780692753922,24.23214538964524,HCC
GSM363035.CEL.gz,57.439357657370685,49.72825235558718,HCC
GSM363036.CEL.gz,-27.46561476835598,30.907245258908763,HCC
GSM363037.CEL.gz,-68.53617753917119,1.2835315866863273,HCC
GSM363038.CEL.gz,-67.9910333961878,-5.568974911565865,HCC
GSM363039.CEL.gz,-41.86917335577934,-38.232159083928885,HCC
GSM363048.CEL.gz,-80.27180224860504,-5.734220832489177,HCC
GSM363049.CEL.gz,-57.4348735177579,-8.771260452405242,HCC
GSM363053.CEL.gz,-46.316580708996185,-12.77008623702017,HCC
GSM363055.CEL.gz,0.12198970761867121,103.93648459808139,HCC
GSM363056.CEL.gz,-65.3722015749889,40.759344919056495,HCC
GSM363057.CEL.gz,-66.53716278541222,-29.791818661568474,HCC
GSM363070.CEL.gz,-89.95082734016603,73.56356604074323,HCC
GSM363071.CEL.gz,-56.94763626454725,-0.9916227164870108,HCC
GSM363072.CEL.gz,-57.68688302208524,-11.208688254833124,HCC
GSM363075.CEL.gz,-52.628312334114696,-15.772227576943699,HCC
GSM363077.CEL.gz,-38.4798069772058,32.947480004520045,HCC
GSM363079.CEL.gz,-79.18525973782243,26.841442911378934,HCC
GSM363081.CEL.gz,5.887008622782058,95.64374059092489,HCC
GSM363082.CEL.gz,-27.915311857382175,-11.70810525997661,HCC
GSM363083.CEL.gz,-83.33285308279503,46.42815391510775,HCC
GSM363084.CEL.gz,-26.052991512453602,-19.738606247017593,HCC
GSM363085.CEL.gz,-92.29433059433873,27.44585826919344,HCC
GSM363086.CEL.gz,-64.1441228251865,-24.575142923630462,HCC
GSM363087.CEL.gz,6.702316114863361,47.21515582455285,HCC
GSM363098.CEL.gz,64.61482783981246,142.0205867764589,HCC
GSM363100.CEL.gz,-104.41337225256471,17.89807055618578,HCC
GSM363102.CEL.gz,-19.0775721785535,-2.0097457500054325,HCC
GSM363103.CEL.gz,20.189234568969912,-18.353114203965806,HCC
GSM363106.CEL.gz,-70.40435788874261,2.538338414859351,HCC
GSM363107.CEL.gz,-37.28554517438068,-12.92805374733026,HCC
GSM363110.CEL.gz,170.17321418669803,152.7686797558666,HCC
GSM363115.CEL.gz,-50.43350394781741,-12.584061992180596,HCC
GSM363121.CEL.gz,21.781659590105328,128.0576348768935,HCC
GSM363122.CEL.gz,42.584046778655136,108.40154482948292,HCC
GSM363124.CEL.gz,-3.929873075810907,-28.63535990476094,HCC
GSM363125.CEL.gz,-53.3578592484251,4.492398340778518,HCC
GSM363126.CEL.gz,-19.68967809358787,53.205854398290626,HCC
GSM363127.CEL.gz,-110.31266602893128,24.403301451964087,HCC
GSM363129.CEL.gz,-107.1188678508573,43.344265009781324,HCC
GSM363130.CEL.gz,-37.51692620937221,-13.280130188249794,HCC
GSM363142.CEL.gz,15.112204188317616,68.72542426614856,HCC
GSM363143.CEL.gz,33.95406029955483,135.07190759949322,HCC
GSM363144.CEL.gz,-43.16760370660249,0.9991884347845817,HCC
GSM363145.CEL.gz,-46.76282362138979,69.2088674116238,HCC
GSM363147.CEL.gz,-69.48322181780907,41.63433869993001,HCC
GSM363148.CEL.gz,-3.292745189887606,36.90429278902608,HCC
GSM363149.CEL.gz,-37.43425135178914,-18.17965286913966,HCC
GSM363150.CEL.gz,-89.73311259614051,58.776437772217896,HCC
GSM363151.CEL.gz,-60.18682326571067,1.755914872920127,HCC
GSM363152.CEL.gz,-60.590945982877656,10.412414666412067,HCC
GSM363168.CEL.gz,-53.97870677110801,-7.267867057239176,HCC
GSM363169.CEL.gz,-46.314624541744394,28.21037666597005,HCC
GSM363170.CEL.gz,-80.72923956124411,-26.205023038814705,HCC
GSM363172.CEL.gz,-84.81659345799163,6.764427550919084,HCC
GSM363174.CEL.gz,-55.33419110999585,10.789509664167024,HCC
GSM363176.CEL.gz,-3.1058562660023012,-37.73332828222056,HCC
GSM363178.CEL.gz,-53.48570719096235,-34.931718081356905,HCC
GSM363182.CEL.gz,-63.98462699591263,2.4323617783283473,HCC
GSM363184.CEL.gz,-104.3013515872217,61.80734751286284,HCC
GSM363186.CEL.gz,-6.178130083362769,-51.981619100340374,HCC
GSM363188.CEL.gz,-37.05177233828974,-36.12383527652075,HCC
GSM363190.CEL.gz,-68.68722849945227,20.55911941626588,HCC
GSM363192.CEL.gz,-70.02975031928023,-15.392001175676684,HCC
GSM363194.CEL.gz,-121.97747735490988,8.665154654904326,HCC
GSM363196.CEL.gz,-47.592368641710976,-36.24500893947332,HCC
GSM363202.CEL.gz,-39.359742475072245,-11.631801141295623,HCC
GSM363204.CEL.gz,-92.01482852652269,-5.403564397051274,HCC
GSM363205.CEL.gz,-47.61526774987974,-28.252033559653245,HCC
GSM363207.CEL.gz,-102.98049724795456,-18.000636645475396,HCC
GSM363209.CEL.gz,-73.98218053876978,-9.421601702885187,HCC
GSM363211.CEL.gz,-87.25333435862174,27.26981431763768,HCC
GSM363213.CEL.gz,-59.05354498916874,-6.411547867243587,HCC
GSM363215.CEL.gz,-88.08823563878994,-14.888205776116198,HCC
GSM363217.CEL.gz,-87.68921008833387,46.119769777037014,HCC
GSM363218.CEL.gz,-106.05103356750365,22.094464343752005,HCC
GSM363222.CEL.gz,-55.07021535622797,77.49162032603854,HCC
GSM363224.CEL.gz,-57.20537465366379,-14.145006799086547,HCC
GSM363226.CEL.gz,-22.900924719625504,-13.581685142754969,HCC
GSM363228.CEL.gz,-89.68541018968524,-18.592125997691273,HCC
GSM363230.CEL.gz,-34.305030020032554,13.708210935682185,HCC
GSM363232.CEL.gz,-91.22249450013808,-19.728897188400637,HCC
GSM363235.CEL.gz,-109.91489710933958,16.266458411256178,HCC
GSM363239.CEL.gz,-56.99829181075098,21.808477227303715,HCC
GSM363243.CEL.gz,41.14415603334536,-10.963164140668434,HCC
GSM363247.CEL.gz,-47.99336631880417,-16.583560515127132,HCC
GSM363249.CEL.gz,-57.66482404366825,65.32203076572223,HCC
GSM363263.CEL.gz,-61.71405280323051,41.704328899645965,HCC
GSM363264.CEL.gz,-6.749147926783141,10.373655984884023,HCC
GSM363265.CEL.gz,-52.63284964518405,14.207770496225995,HCC
GSM363266.CEL.gz,-22.03335659720948,21.636777211227717,HCC
GSM363267.CEL.gz,-12.191912936293125,2.063948488787335,HCC
GSM363268.CEL.gz,-75.91471426692377,21.504130418901582,HCC
GSM363271.CEL.gz,-83.53038008994521,58.1744827683074,HCC
GSM363272.CEL.gz,-31.06066804020137,-55.62941498830895,HCC
GSM363273.CEL.gz,-6.819613990084826,-49.38182299925043,HCC
GSM363275.CEL.gz,71.98601475164838,2.528591691813658,HCC
GSM363290.CEL.gz,-34.980708820485695,23.06920346041144,HCC
GSM363291.CEL.gz,-19.72435847212585,-5.206058712037182,HCC
GSM363293.CEL.gz,-34.28929884204371,-33.93388030904783,HCC
GSM363294.CEL.gz,-76.78479549896701,-10.777429865794334,HCC
GSM363297.CEL.gz,-80.502575357814,26.65441816402862,HCC
GSM363298.CEL.gz,-83.10435824049118,17.246276195215366,HCC
GSM363309.CEL.gz,-86.87127147779489,9.284053135333338,HCC
GSM363310.CEL.gz,-34.98340264353565,23.144869505131386,HCC
GSM363312.CEL.gz,16.45045536415131,26.364778163391883,HCC
GSM363313.CEL.gz,-13.2534457593012,-13.852014598176174,HCC
GSM363314.CEL.gz,-47.22949861424907,-14.661926783166747,HCC
GSM363315.CEL.gz,-52.4041699026844,10.690966214655457,HCC
GSM363317.CEL.gz,-83.01570267176953,41.673519884421516,HCC
GSM363326.CEL.gz,-76.91336273744007,-11.256075834625465,HCC
GSM363327.CEL.gz,-21.688607385042168,-18.7652063796146,HCC
GSM363328.CEL.gz,-50.75153775613782,20.197548164618453,HCC
GSM363329.CEL.gz,-58.325708453665534,12.839374982246673,HCC
GSM363330.CEL.gz,-51.39456881694002,99.91223679563028,HCC
GSM363332.CEL.gz,-84.2793653052076,27.38395982146039,HCC
GSM363333.CEL.gz,-48.14722191460829,36.890514098712714,HCC
GSM363334.CEL.gz,-23.9301662125083,5.656995419349134,HCC
GSM363335.CEL.gz,11.510314889380362,-40.16114225581271,HCC
GSM363337.CEL.gz,-83.13750683185256,16.18991700202952,HCC
GSM363339.CEL.gz,-83.53406431856342,5.111550958650989,HCC
GSM363341.CEL.gz,-56.50232204210366,29.416180180992672,HCC
GSM363343.CEL.gz,-6.91026713088225,23.94927879672708,HCC
GSM363344.CEL.gz,-45.48363173258157,-4.779194281008917,HCC
GSM363346.CEL.gz,-74.65025092328865,-10.59635348285773,HCC
GSM363348.CEL.gz,-88.74214140980324,39.79370114002824,HCC
GSM363350.CEL.gz,-124.03832639327001,28.568659459478894,HCC
GSM363354.CEL.gz,-132.6940762172825,40.40879179727883,HCC
GSM363355.CEL.gz,-65.67458446419081,-4.696535926722022,HCC
GSM363357.CEL.gz,-54.208488179018936,53.39233220192859,HCC
GSM363360.CEL.gz,-84.5238389664416,-0.11954377055231806,HCC
GSM363362.CEL.gz,-65.01354277908403,-0.572965601569094,HCC
GSM363364.CEL.gz,-11.854542449633408,-14.104770209618849,HCC
GSM363366.CEL.gz,-29.781096075427758,-32.26106753402538,HCC
GSM363368.CEL.gz,-48.10852270257777,-21.810809329573146,HCC
GSM363371.CEL.gz,-20.43936439971317,4.830900584103637,HCC
GSM363376.CEL.gz,-36.10422970261723,25.911372091745683,HCC
GSM363378.CEL.gz,25.734202452345443,94.14966640519891,HCC
GSM363384.CEL.gz,-91.04406649200638,11.906571915602369,HCC
GSM363386.CEL.gz,-55.87250844696615,42.08322251928025,HCC
GSM363388.CEL.gz,-46.951544602756535,18.950171777192324,HCC
GSM363391.CEL.gz,-51.367321786515326,-22.77253454683668,HCC
