feature,value
1007_s_at,0.0005227635014029
1053_at,0.00049299318402
117_at,0.0007101443665452
121_at,0.0004616387469396
1255_g_at,0.0002603192302686
1294_at,0.0001783624691733
1316_at,0.0003287586382764
1320_at,0.000420182181769
1405_i_at,0.0005298064941493
1431_at,0.0003076243825001
1438_at,0.0003787264382292
1487_at,0.000581064566506
1494_f_at,0.0004488744553303
1598_g_at,0.0004581286449827
160020_at,0.0003420161433799
1729_at,0.000580588000298
1773_at,0.0004550902500555
177_at,0.0006998876024406
179_at,0.0003701196746961
1861_at,0.0007516846039216
200000_s_at,0.00034545333306
200001_at,0.0002954396870381
200002_at,0.0003688495776596
200003_s_at,0.0003403890429538
200004_at,0.0002394032254775
200005_at,0.0004867202453987
200006_at,0.0005872469943959
200007_at,0.0005648472305415
200008_s_at,0.0002848458057079
200009_at,0.0003490581156682
200010_at,0.0004585814168809
200011_s_at,0.0004127577470101
200012_x_at,0.0003545346592328
200013_at,0.0003146320096499
200014_s_at,0.0002498577564651
200015_s_at,0.0008108912247822
200016_x_at,0.0005744101723394
200017_at,0.0003313309682116
200018_at,0.0003309669102761
200019_s_at,0.0003597081801202
200020_at,0.0002406838185491
200021_at,0.0026647693707771
200022_at,0.0008728118946663
200023_s_at,0.0004665986705118
200024_at,0.00069830993043
200025_s_at,0.0004867445115813
200026_at,0.0004286604170702
200027_at,0.0005185130030264
200028_s_at,0.0005181738803724
200029_at,0.0005276865528588
200030_s_at,0.000316556947019
200031_s_at,0.0004118952348543
200032_s_at,0.0003915213383055
200033_at,0.0004628702328735
200034_s_at,0.0003165679567371
200035_at,0.0007131243419628
200036_s_at,0.0003188875759874
200037_s_at,0.0002889034491338
200038_s_at,0.000614466425785
200039_s_at,0.0005066977382264
200040_at,0.0006142137049648
200041_s_at,0.00036989234049
200042_at,0.0005040506797835
200043_at,0.0084212743170381
200044_at,0.0005466188093788
200045_at,0.0002704130646279
200046_at,0.0003487194828542
200047_s_at,0.0005374187712701
200048_s_at,0.0006029619371719
200049_at,0.0007407921397559
200050_at,0.0006444599225084
200051_at,0.000241240398992
200052_s_at,0.0004508413184001
200053_at,0.0004125676679735
200054_at,0.0008283602211508
200055_at,0.000430710980466
200056_s_at,0.0004363328936271
200057_s_at,0.0003616062357296
200058_s_at,0.0004936490736301
200059_s_at,0.0002870530986155
200060_s_at,0.0004671135526536
200061_s_at,0.000322100558757
200062_s_at,0.0006427583912414
200063_s_at,0.0005462651940065
200064_at,0.0043570338594267
200065_s_at,0.0004063321290937
200066_at,0.0062345738890696
200067_x_at,0.0009235609156412
200068_s_at,0.0006188775927515
200069_at,0.0004565244211246
200070_at,0.0005948044833738
200071_at,0.0006011935792721
200072_s_at,0.0005055909263285
200073_s_at,0.0008546772183823
200074_s_at,0.0010241780124482
200075_s_at,0.0004743569437386
200076_s_at,0.0005049937951093
200077_s_at,0.0005426550956052
200078_s_at,0.0007908624478609
200079_s_at,0.000400765423166
200080_s_at,0.0008385928371688
200081_s_at,0.0004082590129308
200082_s_at,0.0002818307758335
200083_at,0.0007072444052625
200084_at,0.0002206833804707
200085_s_at,0.0003460931924628
200086_s_at,0.0012834901938108
200087_s_at,0.0005515057995952
200088_x_at,0.000536509394243
200089_s_at,0.0004340212899936
200090_at,0.0004743727375653
200091_s_at,0.0002411160000889
200092_s_at,0.0002368632408974
200093_s_at,0.000549081645675
200094_s_at,0.0004485075465919
200095_x_at,0.0005828390015425
200096_s_at,0.0004948966564891
200097_s_at,0.0004491697485263
200098_s_at,0.0003320894576026
200099_s_at,0.0008777456613547
200593_s_at,0.000482450034968
200594_x_at,0.0002991764042982
200595_s_at,0.0004435615163218
200596_s_at,0.0003129470336706
200597_at,0.0002492370894447
200598_s_at,0.000535059843728
200599_s_at,0.0002815444383256
200600_at,0.0007060586824545
200601_at,0.0003140941923392
200602_at,0.0002588336608559
200603_at,0.0003795569596729
200604_s_at,0.0005382269880246
200605_s_at,0.0007692087503743
200606_at,0.0002556564346379
200607_s_at,0.0008817280331029
200608_s_at,0.0003709952863411
200609_s_at,0.0010854268518343
200610_s_at,0.0003068728583539
200611_s_at,0.0002741101402956
200612_s_at,0.0003551983875682
200613_at,0.0005618056782586
200614_at,0.0002714676901154
200615_s_at,0.0005027375998099
200616_s_at,0.0003817408647914
200617_at,0.0006342588592589
200618_at,0.0006715965179613
200619_at,0.0003583153720265
200620_at,0.0004582031788701
200621_at,0.0010421584462222
200622_x_at,0.0003770717581363
200623_s_at,0.0004786420062217
200624_s_at,0.0003607933956039
200625_s_at,0.0003883049994572
200626_s_at,0.0007666548096957
200627_at,0.0006627970935022
200628_s_at,0.0003639289500548
200629_at,0.0003426131780005
200630_x_at,0.0004632696665469
200631_s_at,0.0008977723129946
200632_s_at,0.0005128022992505
200633_at,0.0007064610486562
200634_at,0.0008453376945456
200635_s_at,0.0003115345327896
200636_s_at,0.000232622435498
200637_s_at,0.000542544062796
200638_s_at,0.0006333616126257
200639_s_at,0.0005181448781062
200640_at,0.0006702548495249
200641_s_at,0.0007539048992288
200642_at,0.0011151296617231
200643_at,0.0002031790318039
200644_at,0.0002697552760394
200645_at,0.0005192110545315
200646_s_at,0.0006614881876494
200647_x_at,0.0003894399207787
200648_s_at,0.0010111062676055
200649_at,0.0008623511137975
200650_s_at,0.0005132602830839
200651_at,0.0002415601473989
200652_at,0.0004390835550063
200653_s_at,0.0008389552218002
200654_at,0.0002942807869878
200655_s_at,0.000792703803557
200656_s_at,0.0005798812374663
200657_at,0.0003729656138503
200658_s_at,0.0005092904976187
200659_s_at,0.0006018015739281
200660_at,0.000474821256427
200661_at,0.0005085707754546
200662_s_at,0.000721381645781
200663_at,0.0003888000137218
200664_s_at,0.0012305732829612
200665_s_at,0.0006065463639155
200666_s_at,0.0005164025676777
200667_at,0.0003888871579419
200668_s_at,0.0006045490681552
200669_s_at,0.0005676553396196
200670_at,0.000362708829444
200671_s_at,0.0003532215655222
200672_x_at,0.0007320964905634
200673_at,0.0007441800953903
200674_s_at,0.000436413895128
200675_at,0.0004207424151604
200676_s_at,0.0004677254078353
200677_at,0.0005699204551787
200678_x_at,0.0003708478847189
200679_x_at,0.0005541339699293
200680_x_at,0.0002470285919081
200681_at,0.0009844653618104
200682_s_at,0.0009217853403128
200683_s_at,0.0005687914934091
200684_s_at,0.0003536113075278
200685_at,0.0003722550163046
200686_s_at,0.0004594648545132
200687_s_at,0.000795190676598
200688_at,0.0012028890207565
200689_x_at,0.0004479761477481
200690_at,0.0005444919298121
200691_s_at,0.0005489248245084
200692_s_at,0.000294933827209
