,PC 1 (0.7076983866315315),PC 2 (0.09417687577784174),type
GSM362958.CEL.gz,-1.0167999024284256,-0.13532643685728213,HCC
GSM362959.CEL.gz,-0.9306553211505746,-0.1171142335302035,HCC
GSM362960.CEL.gz,-0.6794465882291749,-0.27599466378928494,HCC
GSM362964.CEL.gz,-0.9687838088239998,-0.2372634577828291,HCC
GSM362965.CEL.gz,-1.0545611111093416,-0.1494479261693698,HCC
GSM362966.CEL.gz,-0.8285569724741759,0.1552217729594348,HCC
GSM362970.CEL.gz,-0.9492884940091968,-0.10735769320128198,HCC
GSM362971.CEL.gz,0.39622511359168955,0.21865198589813825,HCC
GSM362972.CEL.gz,-0.9377418820204003,-0.42437674532751507,HCC
GSM362976.CEL.gz,-1.0794608541281343,-0.32084857356378144,HCC
GSM362977.CEL.gz,-0.7761483606165306,-0.2829041306878978,HCC
GSM362978.CEL.gz,-0.8439914348838012,0.04749702739376597,HCC
GSM362982.CEL.gz,-0.5861115876776588,0.26400926949857234,HCC
GSM362984.CEL.gz,-0.9419373156813455,-0.13766740032543565,HCC
GSM362986.CEL.gz,-1.2799459853950121,-0.5199426724899509,HCC
GSM362988.CEL.gz,-1.027062864259385,-0.24343815263372331,HCC
GSM362992.CEL.gz,-0.9066369746878941,-0.16660272703096166,HCC
GSM362993.CEL.gz,-1.0990386522742623,-0.155389777365372,HCC
GSM362994.CEL.gz,-0.9051468881685704,0.0414022340848309,HCC
GSM363008.CEL.gz,-0.31765525155923724,0.1688705415639757,HCC
GSM363009.CEL.gz,-0.8651688046914968,-0.11059850785139269,HCC
GSM363010.CEL.gz,-0.6528077074176446,-0.46467709608848035,HCC
GSM363011.CEL.gz,-0.9001623154187582,0.08408217653301887,HCC
GSM363012.CEL.gz,-0.45883517127262907,0.19530536776224944,HCC
GSM363013.CEL.gz,-0.8514494473243743,0.15981220703847995,HCC
GSM363015.CEL.gz,-1.08208712002115,-0.19973902021567821,HCC
GSM363016.CEL.gz,-0.8580364864895996,0.03466758580785799,HCC
GSM363017.CEL.gz,-0.5283641030734902,0.408021142068061,HCC
GSM363029.CEL.gz,-0.7865748588949308,-0.45117465837418613,HCC
GSM363030.CEL.gz,-0.941281687882828,-0.001627803937049798,HCC
GSM363031.CEL.gz,-1.0935633513060243,-0.34166919752308367,HCC
GSM363032.CEL.gz,-0.8254392175249322,-0.4082502361905816,HCC
GSM363033.CEL.gz,-0.9875773452261088,-0.27255536145116394,HCC
GSM363034.CEL.gz,-1.1132185360644729,-0.32468383527659644,HCC
GSM363035.CEL.gz,-0.36675081078405863,0.030911552563964387,HCC
GSM363036.CEL.gz,-0.5450482788909453,0.5786297727983457,HCC
GSM363037.CEL.gz,-1.0352523994151683,-0.11400324759424446,HCC
GSM363038.CEL.gz,-0.9379573642839326,-0.08416473553979911,HCC
GSM363039.CEL.gz,-0.9463719297965526,-0.13403508704196926,HCC
GSM363048.CEL.gz,-1.0454107145787361,0.21352410773690053,HCC
GSM363049.CEL.gz,-0.7492012414072489,-0.08422270077722437,HCC
GSM363053.CEL.gz,-0.9272960348961797,-0.06636664827504311,HCC
GSM363055.CEL.gz,-0.8351528094429043,-0.2811269502423065,HCC
GSM363056.CEL.gz,-0.9068596609345948,-0.07954711937132607,HCC
GSM363057.CEL.gz,-1.0201112519465518,-0.005876363492133467,HCC
GSM363070.CEL.gz,-0.7507471787503451,0.06864998669013692,HCC
GSM363071.CEL.gz,-1.0237894357523,0.24908994865905618,HCC
GSM363072.CEL.gz,-1.1186810699994754,-0.06366695792547682,HCC
GSM363075.CEL.gz,-0.32414297061576025,0.01702248084237259,HCC
GSM363077.CEL.gz,-0.6683778325037277,0.2721158616790742,HCC
GSM363079.CEL.gz,-0.9765005374372259,-0.2110605496509512,HCC
GSM363081.CEL.gz,-0.7025385798577143,0.12632816831078303,HCC
GSM363082.CEL.gz,-1.0535397357359044,-0.21618618207855708,HCC
GSM363083.CEL.gz,-0.9161435992528629,-0.1657125182814021,HCC
GSM363084.CEL.gz,-1.0268829709929717,-0.2747294937541065,HCC
GSM363085.CEL.gz,-0.6408025614069303,0.37058280493020496,HCC
GSM363086.CEL.gz,-1.2151047344163306,-0.4714327800129331,HCC
GSM363087.CEL.gz,-0.7689928331348124,0.2678622965291228,HCC
GSM363098.CEL.gz,-0.6880583188319466,-0.271042171797723,HCC
GSM363100.CEL.gz,-0.9816496411507668,0.27695646497317333,HCC
GSM363102.CEL.gz,-0.7535163033608111,-0.010982863256185388,HCC
GSM363103.CEL.gz,0.35408368448550637,0.5638981542530707,HCC
GSM363106.CEL.gz,-1.112304626067178,-0.45339838163050916,HCC
GSM363107.CEL.gz,-0.8603484669667297,0.037360318951471905,HCC
GSM363110.CEL.gz,0.1661569270172751,-0.22468302476214277,HCC
GSM363115.CEL.gz,-0.9947592813944536,-0.371012088900299,HCC
GSM363121.CEL.gz,-0.5022395056114867,0.18819316249107101,HCC
GSM363122.CEL.gz,-0.8002539369836844,-0.7696404030346615,HCC
GSM363124.CEL.gz,-0.31275227015435314,0.31122626937712794,HCC
GSM363125.CEL.gz,-0.6715610389824551,0.04862061811886461,HCC
GSM363126.CEL.gz,-0.8947654744073711,-0.34251483993155724,HCC
GSM363127.CEL.gz,-1.010692546206042,0.07241789382728407,HCC
GSM363129.CEL.gz,-0.6537418406890652,0.03870743866727493,HCC
GSM363130.CEL.gz,-1.1761449673852582,-0.3909313290325829,HCC
GSM363142.CEL.gz,-1.1003843492849625,-0.6443927996693424,HCC
GSM363143.CEL.gz,-0.41031231582537064,0.17034621366595476,HCC
GSM363144.CEL.gz,-0.9905966996357023,-0.25614886960470307,HCC
GSM363145.CEL.gz,-1.1646893227138444,-0.3480167304047326,HCC
GSM363147.CEL.gz,-0.9399481007234066,-0.3246493514350516,HCC
