,wt-SNE 1,wt-SNE 2,type
GSM362958.CEL.gz,10.08982567531563,16.803031480370784,HCC
GSM362959.CEL.gz,5.601586337153973,20.377892215632688,HCC
GSM362960.CEL.gz,11.234854900694701,19.53179223197237,HCC
GSM362964.CEL.gz,8.811588218058235,18.381945864513373,HCC
GSM362965.CEL.gz,9.179844816453501,19.970526864068333,HCC
GSM362966.CEL.gz,6.219286545092329,12.10782751073937,HCC
GSM362970.CEL.gz,9.64477613550728,17.822616018631553,HCC
GSM362971.CEL.gz,0.6411800001337972,-13.649058750276945,HCC
GSM362972.CEL.gz,6.875166551037402,23.67030520060352,HCC
GSM362976.CEL.gz,10.412661776825797,21.490884614720052,HCC
GSM362977.CEL.gz,1.3918718117817073,21.622433704277725,HCC
GSM362978.CEL.gz,5.924215151354239,13.92952877185709,HCC
GSM362982.CEL.gz,5.416198740376231,6.265328797354722,HCC
GSM362984.CEL.gz,9.92567796348716,14.42014192937894,HCC
GSM362986.CEL.gz,6.678684009748109,25.79294652992206,HCC
GSM362988.CEL.gz,6.351192449748083,21.604142661402914,HCC
GSM362992.CEL.gz,6.218349195522954,20.991373762488717,HCC
GSM362993.CEL.gz,5.988028192317835,18.92015130723164,HCC
GSM362994.CEL.gz,9.638556371477437,11.455907640593693,HCC
GSM363008.CEL.gz,1.6492673960622102,8.156532665880187,HCC
GSM363009.CEL.gz,11.073549934078912,17.836211864549234,HCC
GSM363010.CEL.gz,12.324908219085817,19.513824859317957,HCC
GSM363011.CEL.gz,3.8267065359828263,15.553714237625366,HCC
GSM363012.CEL.gz,6.002654144729684,6.0191044194803505,HCC
GSM363013.CEL.gz,3.098071603283962,15.08743406926963,HCC
GSM363015.CEL.gz,8.130479041745664,21.081101196968326,HCC
GSM363016.CEL.gz,1.5923323124871243,16.567087442365047,HCC
GSM363017.CEL.gz,0.8694639669573049,9.638662457604479,HCC
GSM363029.CEL.gz,7.520380332093263,22.992234572885774,HCC
GSM363030.CEL.gz,10.803978054419623,15.833631073140909,HCC
GSM363031.CEL.gz,9.296325324077374,22.533584241427306,HCC
GSM363032.CEL.gz,2.824965398453952,22.270019473951905,HCC
GSM363033.CEL.gz,3.3461053891133936,21.211574746931664,HCC
GSM363034.CEL.gz,8.796966560726556,22.836341830611193,HCC
GSM363035.CEL.gz,1.3204819329948436,7.15469132655157,HCC
GSM363036.CEL.gz,-0.5086239023939922,10.637858104377246,HCC
GSM363037.CEL.gz,7.984010140966049,17.11658386643946,HCC
GSM363038.CEL.gz,2.150678709414978,20.862069847338955,HCC
GSM363039.CEL.gz,9.2693846943291,14.965669545842363,HCC
GSM363048.CEL.gz,7.1294827564294785,10.46116717919639,HCC
GSM363049.CEL.gz,2.701536630049942,16.497261334289437,HCC
GSM363053.CEL.gz,9.644425429980101,17.69888729731914,HCC
GSM363055.CEL.gz,12.065239375739903,21.05684961222913,HCC
GSM363056.CEL.gz,3.173048070854699,19.916321787144035,HCC
GSM363057.CEL.gz,8.884177383293824,14.486303234884325,HCC
GSM363070.CEL.gz,6.417439442954489,6.671314199190233,HCC
GSM363071.CEL.gz,7.0524066222493325,10.731567858423059,HCC
GSM363072.CEL.gz,8.634549003734037,16.492452069840738,HCC
GSM363075.CEL.gz,-0.8042760793192217,16.854360986629672,HCC
GSM363077.CEL.gz,1.2209365962077217,12.241228229294194,HCC
GSM363079.CEL.gz,5.077686033930838,21.7090704756677,HCC
GSM363081.CEL.gz,5.381116880352046,11.716639443070685,HCC
GSM363082.CEL.gz,7.082196953920307,17.895660026304114,HCC
GSM363083.CEL.gz,10.58493562931941,22.526480102955368,HCC
GSM363084.CEL.gz,7.510335073405419,21.523673951113846,HCC
GSM363085.CEL.gz,0.9130271544040852,10.774414716350703,HCC
GSM363086.CEL.gz,6.204811680993234,25.07920525115122,HCC
GSM363087.CEL.gz,2.365134221554819,13.565970159353524,HCC
GSM363098.CEL.gz,13.815911423318425,17.109701644844048,HCC
GSM363100.CEL.gz,7.9353447292625265,11.418503929519881,HCC
GSM363102.CEL.gz,3.4617290416289923,16.89605720191982,HCC
GSM363103.CEL.gz,2.084047360361846,-9.891531089322584,HCC
GSM363106.CEL.gz,4.156609261207628,25.25074349625565,HCC
GSM363107.CEL.gz,7.220215742296289,12.493341156666254,HCC
GSM363110.CEL.gz,-1.9360270585358392,-7.639628458635083,HCC
GSM363115.CEL.gz,4.700599481688951,22.997681406079806,HCC
GSM363121.CEL.gz,1.9477347666184102,9.098306902167456,HCC
GSM363122.CEL.gz,4.630365751026722,26.994642113261214,HCC
GSM363124.CEL.gz,0.18284194102197174,7.794400104047415,HCC
GSM363125.CEL.gz,2.3429802568560962,15.249542589165367,HCC
GSM363126.CEL.gz,10.684523386000164,20.08067077400576,HCC
GSM363127.CEL.gz,5.839099255329966,16.288650550674657,HCC
GSM363129.CEL.gz,7.08954566525936,7.233893794394808,HCC
GSM363130.CEL.gz,5.6274856185522815,24.86880464161065,HCC
GSM363142.CEL.gz,4.806515310243948,26.022974053511216,HCC
GSM363143.CEL.gz,2.091604792304411,8.30686262954172,HCC
GSM363144.CEL.gz,3.9633818538259837,23.13460532579516,HCC
GSM363145.CEL.gz,8.531662843721843,23.695506461577185,HCC
GSM363147.CEL.gz,4.36840878700465,22.057689479387275,HCC
GSM363148.CEL.gz,-0.4238203914663326,12.00519807202286,HCC
GSM363149.CEL.gz,6.724943795039377,22.281762333200813,HCC
GSM363150.CEL.gz,2.204055773981926,12.920859381963755,HCC
GSM363151.CEL.gz,6.290030721155938,15.985996775329543,HCC
GSM363152.CEL.gz,4.916436995971214,25.528200537004725,HCC
GSM363168.CEL.gz,7.84583053721225,19.624808660113153,HCC
GSM363169.CEL.gz,10.277521150976405,16.461438984979544,HCC
GSM363170.CEL.gz,9.241565318803962,20.480747770414652,HCC
GSM363172.CEL.gz,-1.406724629265455,9.154411917144477,HCC
GSM363174.CEL.gz,1.8481387851245075,11.351257504094356,HCC
GSM363176.CEL.gz,1.5023883687425605,7.644391546758137,HCC
GSM363178.CEL.gz,8.319947086115418,16.297212832212395,HCC
GSM363182.CEL.gz,4.1277077618314655,18.283039504275802,HCC
GSM363184.CEL.gz,12.220637280668473,22.821658703293142,HCC
GSM363186.CEL.gz,-1.0351343557826664,17.731678136083588,HCC
GSM363188.CEL.gz,1.7396093063391498,7.467647572596659,HCC
GSM363190.CEL.gz,4.351130753648695,15.766654663427763,HCC
GSM363192.CEL.gz,4.592788693381843,17.735955666357405,HCC
GSM363194.CEL.gz,4.2715046879538985,10.690081052931944,HCC
GSM363196.CEL.gz,9.624199322046147,20.07328565911014,HCC
GSM363202.CEL.gz,2.6998965646106905,9.67205936538932,HCC
GSM363204.CEL.gz,4.118631823607503,11.120612008500126,HCC
GSM363205.CEL.gz,1.9740595704035906,21.06929779072843,HCC
GSM363207.CEL.gz,4.725109917808506,5.762111029713794,HCC
GSM363209.CEL.gz,4.184506886273914,22.518231694977427,HCC
GSM363211.CEL.gz,3.7125876833603657,14.25294263383347,HCC
GSM363213.CEL.gz,5.267677288164706,10.38394412788055,HCC
GSM363215.CEL.gz,3.6324835351151554,15.924230232998317,HCC
GSM363217.CEL.gz,11.891035778584786,22.43433093695637,HCC
GSM363218.CEL.gz,3.950510626410912,5.059612331320102,HCC
GSM363222.CEL.gz,2.1396210212643085,10.623495781317287,HCC
GSM363224.CEL.gz,6.155951720717239,12.839005813425592,HCC
GSM363226.CEL.gz,1.513794729781214,13.878418580521895,HCC
GSM363228.CEL.gz,7.142668327153958,26.058126302216728,HCC
GSM363230.CEL.gz,7.083084879755393,11.005323323163942,HCC
GSM363232.CEL.gz,-1.4714683761494896,10.432608191288608,HCC
GSM363235.CEL.gz,4.52784375664855,8.147085450102525,HCC
GSM363239.CEL.gz,7.4435732719338725,25.87024146989851,HCC
GSM363243.CEL.gz,-7.072741151198911,-13.188324834647947,HCC
GSM363247.CEL.gz,6.829592956146395,17.560447440791222,HCC
GSM363249.CEL.gz,4.7759579259057485,20.900546754130396,HCC
GSM363263.CEL.gz,3.5105820400391377,12.254754770647509,HCC
GSM363264.CEL.gz,10.20401978547121,17.695190393206932,HCC
GSM363265.CEL.gz,10.932112318402321,20.759012106312117,HCC
GSM363266.CEL.gz,5.245862495390221,12.378755756190357,HCC
GSM363267.CEL.gz,7.897485762814562,20.75160564201974,HCC
GSM363268.CEL.gz,5.2490658791173415,18.626683551933485,HCC
GSM363271.CEL.gz,3.4706884864374774,12.584836353161911,HCC
GSM363272.CEL.gz,7.934440983354632,13.74245588719438,HCC
GSM363273.CEL.gz,5.137637540603938,12.800791145901806,HCC
GSM363275.CEL.gz,-4.4868002844483295,-11.254747599863459,HCC
GSM363290.CEL.gz,2.8070778206434293,11.065569507186733,HCC
GSM363291.CEL.gz,1.2888977849139744,16.288686071611163,HCC
GSM363293.CEL.gz,6.455407008994347,6.601311921194539,HCC
GSM363294.CEL.gz,8.727904871032488,20.959343736046733,HCC
GSM363297.CEL.gz,-0.22722116390272007,11.273790824194233,HCC
GSM363298.CEL.gz,5.4876587715818825,23.186689684201866,HCC
GSM363309.CEL.gz,6.4882160919744525,19.529333704780733,HCC
GSM363310.CEL.gz,7.083187544856565,21.658086142998233,HCC
GSM363312.CEL.gz,7.200734923425489,18.866031158211506,HCC
GSM363313.CEL.gz,8.119277762311775,13.978797742697036,HCC
GSM363314.CEL.gz,0.707196632119839,11.55793287094262,HCC
GSM363315.CEL.gz,2.587383348085917,23.69200821704966,HCC
GSM363317.CEL.gz,3.5992460240988953,22.86422597755533,HCC
GSM363326.CEL.gz,6.9167641402919715,20.728864184335436,HCC
GSM363327.CEL.gz,7.342096060012488,13.696775610438285,HCC
GSM363328.CEL.gz,6.280587521216927,15.010333606248912,HCC
GSM363329.CEL.gz,2.7507787393575733,23.936933993540663,HCC
GSM363330.CEL.gz,5.441953630068318,26.160804887524467,HCC
GSM363332.CEL.gz,4.598701561706278,18.482558391703016,HCC
GSM363333.CEL.gz,1.0346112862590164,10.179355589030205,HCC
GSM363334.CEL.gz,6.115456498702781,21.79043970343757,HCC
GSM363335.CEL.gz,-1.2219013785240262,17.86973473538125,HCC
GSM363337.CEL.gz,8.065848842617212,25.754894955760594,HCC
GSM363339.CEL.gz,4.731824401104644,7.79568921696537,HCC
GSM363341.CEL.gz,-0.2558981897870999,9.542021594576124,HCC
GSM363343.CEL.gz,0.691006412925531,10.939981775915449,HCC
GSM363344.CEL.gz,9.486884997537512,11.457570673582936,HCC
GSM363346.CEL.gz,9.88032869125831,16.101376997058836,HCC
GSM363348.CEL.gz,5.071894672215112,7.5921714489824,HCC
GSM363350.CEL.gz,5.340169911782131,15.442906573415899,HCC
GSM363354.CEL.gz,0.16646250425411188,12.789191024428144,HCC
GSM363355.CEL.gz,5.185155478388795,6.197977509569157,HCC
GSM363357.CEL.gz,2.7517581725668814,13.999360390574324,HCC
GSM363360.CEL.gz,5.735612511362535,18.227990256467727,HCC
GSM363362.CEL.gz,1.616874390551415,12.479421993622548,HCC
GSM363364.CEL.gz,9.907194253729735,13.785592511912503,HCC
GSM363366.CEL.gz,4.368816053728776,11.571736534257791,HCC
GSM363368.CEL.gz,5.87683281027998,20.26178892727398,HCC
GSM363371.CEL.gz,7.832559654258112,12.155569018796749,HCC
GSM363376.CEL.gz,8.95499628396167,12.91294788793686,HCC
GSM363378.CEL.gz,10.175392649771803,23.98907606607824,HCC
GSM363384.CEL.gz,9.322808201124335,21.61557494842233,HCC
GSM363386.CEL.gz,1.3061238739387881,11.422108429541334,HCC
GSM363388.CEL.gz,-1.6049639937929097,9.51357898499539,HCC
GSM363391.CEL.gz,6.138942149356769,24.513545058301904,HCC
GSM363393.CEL.gz,-0.8958256791100682,7.781268339370148,HCC
GSM363400.CEL.gz,5.533972367174088,15.461805971632131,HCC
GSM363404.CEL.gz,1.0922062446438248,15.778376246773236,HCC
GSM712532.CEL.gz,4.841657963159053,18.1746408281564,HCC
GSM712534.CEL.gz,9.959540973809611,23.57036664774727,HCC
GSM712542.CEL.gz,13.864309945866333,17.12522292662841,HCC
GSM362961.CEL.gz,-6.5089256793693435,-14.003634332223424,normal
GSM362962.CEL.gz,-3.7057354509210163,-14.151388733655264,normal
GSM362963.CEL.gz,-6.1094305976030805,-11.170545083870733,normal
GSM362967.CEL.gz,-6.052230712356995,-18.776267783027585,normal
GSM362968.CEL.gz,-12.266102095858614,-18.41124868824701,normal
GSM362969.CEL.gz,-6.779973478203984,-11.183796787249452,normal
GSM362973.CEL.gz,-11.395101953554004,-14.552564080348205,normal
GSM362974.CEL.gz,1.6729324590098773,18.309007806824678,normal
GSM362975.CEL.gz,-5.294167260693975,-15.734405639383672,normal
GSM362979.CEL.gz,-8.90510740288063,-19.24463721919655,normal
GSM362980.CEL.gz,-5.345824100765883,-18.427335676105738,normal
GSM362981.CEL.gz,2.1380319148533995,-8.540966056266386,normal
GSM362989.CEL.gz,-9.244248583187614,-16.319758494071074,normal
GSM362991.CEL.gz,-3.0379300975136774,-22.028980897674938,normal
GSM362995.CEL.gz,-0.44150233763191576,-13.131707157289881,normal
GSM362996.CEL.gz,-9.249833845587274,-16.84621603232769,normal
GSM362997.CEL.gz,-10.592106082742633,-13.426256968527927,normal
GSM362998.CEL.gz,-10.106950908410756,-11.473360939048463,normal
GSM363001.CEL.gz,-1.8881235045995581,-9.148287386172507,normal
GSM363002.CEL.gz,-10.355049700096858,-25.824465541960475,normal
GSM363003.CEL.gz,-10.72693109563595,-18.226128984047442,normal
GSM363004.CEL.gz,-8.920312358395199,-23.146465318294894,normal
GSM363006.CEL.gz,1.7126545599883891,-17.025234203982702,normal
GSM363018.CEL.gz,-8.11798464664701,-24.123901697380816,normal
GSM363019.CEL.gz,-9.566932908205178,-17.713579901350016,normal
