,PC 1 (0.09708116209150738),PC 2 (0.048465279055821375),type
PT19,-81.50843322618992,-48.02993618289877,HCC
PT62,-57.62345196473034,-58.22995894064819,HCC
PT21,-15.510760383828082,-45.86353467764322,HCC
PT63,-51.5314950760371,-69.06352468718114,HCC
PT46,-60.26551851580958,-75.81345584116622,HCC
PT60,-46.15858315974721,-33.503259765853514,HCC
PT8,-44.66438064850744,-24.05429971292062,HCC
PT66,-9.612952498734378,-16.71609468251654,HCC
PT17,-45.96313953851408,-50.11040569687029,HCC
PT58,-39.1776876607281,-44.49556000418287,HCC
PT61,-41.97247631396887,-38.39351004766137,HCC
PT24,-55.66035071818661,-26.267056487083188,HCC
PT25,6.025276590345422,-51.49048303605583,HCC
PT54,-7.0153295106098605,-1.3303117380302734,HCC
PT83,-46.031777004455,-53.11379127952902,HCC
PT88,-49.619131867021565,-3.9457044917595527,HCC
PT85,35.558910413169365,-8.201229001152276,HCC
PT18,-30.504098902066556,23.432060722742644,HCC
PT73,-29.87224070625125,-79.40218846155103,HCC
PT40,95.89584510110089,35.77077024351074,HCC
PT104,35.94542260490402,-37.65744496753635,HCC
PT53,-37.77882636994549,1.9502205924906142,HCC
PT78,-10.195292967135945,-15.181157182593934,HCC
PT16,132.44199982465622,-38.9166652559777,HCC
PT97,-20.261600577571173,-39.617720408633026,HCC
PT41,-57.73794388359936,1.9205378540276723,HCC
PT57,-23.047668755415824,10.964031530668176,HCC
PT99,9.741230051521939,13.104878117557558,HCC
PT101,-47.263485713545066,-32.315810568903814,HCC
PT76,-50.67352888977746,3.9358481443994,HCC
PT98,-67.91511405906598,-25.917377335136234,HCC
PT6,-74.29107378602156,-19.494028404895193,HCC
PT29,-54.51321020478583,-88.29151286396495,HCC
PT26,-19.126438924157444,-40.53742613949582,HCC
PT3,-46.11023436649093,-20.529507658074433,HCC
PT34,-95.16388096615295,-10.024064811856032,HCC
PT72,-92.97182288710725,-51.80098204110692,HCC
PT31,-59.50470187201726,16.93108200331856,HCC
PT22,-62.949281576725255,37.33053872765392,HCC
PT32,-120.31716490550102,2.408592149704078,HCC
PT102,-8.989033528988156,29.662163007326313,HCC
PT103,-103.02877033038982,-5.188540129301791,HCC
PT100,3.2884498022463275,-43.81524215886973,HCC
PT5,-84.13567384624898,-35.96351709913683,HCC
PT4,-41.472455529969906,-32.218224944582786,HCC
PT7,-53.07405336815835,62.88446827793966,HCC
PT11,-36.121525641671816,79.61018284759781,HCC
PT23,-28.807443788953968,81.34347320477576,HCC
PT36,-5.847805891667331,77.04419264306817,HCC
