feature,value
ILMN_1762337,0.0002623355752849
ILMN_2055271,9.12495505266206e-05
ILMN_1736007,7.94395775511782e-05
ILMN_2383229,9.662975390813203e-05
ILMN_1806310,0.0002026955490925
ILMN_1779670,9.506114268204308e-05
ILMN_1653355,0.0001053804833864
ILMN_1717783,0.0001305957296434
ILMN_1705025,0.0001497106234942
ILMN_1814316,0.0001193205889146
ILMN_2359168,0.0001153834257069
ILMN_1731507,5.595117302373841e-05
ILMN_1787689,2.7762010168609847e-05
ILMN_3241953,8.996375411684307e-05
ILMN_1745607,0.0001402584216504
ILMN_2136495,5.859074024967596e-05
ILMN_1668111,6.576459742384533e-05
ILMN_2295559,8.557405949704036e-05
ILMN_1735045,5.157564994193217e-05
ILMN_1680754,4.695012327741259e-05
ILMN_2375184,6.439310120874107e-05
ILMN_1659452,7.11116163172577e-05
ILMN_1767388,0.000129531833423
ILMN_1675204,0.0001112947330865
ILMN_1673870,7.260102067091757e-05
ILMN_1755321,0.000155343151631
ILMN_1698554,5.9882385645227375e-05
ILMN_1814092,9.876362348294774e-05
ILMN_1760414,6.17689405134763e-05
ILMN_2061446,8.482185011955366e-05
ILMN_1676336,6.916266756507051e-05
ILMN_1752884,0.0001060512838699
ILMN_1660703,0.0001202329461288
ILMN_1668851,0.0001256544855622
ILMN_2270015,8.260552420705415e-05
ILMN_1809959,4.609663014917426e-05
ILMN_2357031,8.651130162940994e-05
ILMN_1726986,0.0035146822621714
ILMN_3237396,0.0001200256570845
ILMN_1688755,7.29239577112042e-05
ILMN_1880387,8.634158126314519e-05
ILMN_1689211,0.0001132648393422
ILMN_1653165,8.277019607966463e-05
ILMN_1729835,0.0001022818226115
ILMN_1662364,0.000131583481986
ILMN_1674698,0.0001310916835638
ILMN_1700461,8.236085157502384e-05
ILMN_1784269,0.0001342104130614
ILMN_1698189,0.0001623834535756
ILMN_2096191,0.0001647178133338
ILMN_1678323,5.43646441508524e-05
ILMN_2157219,0.0001280999866032
ILMN_1703743,6.853237834322574e-05
ILMN_1687609,0.000124108616515
ILMN_2068874,0.0001260519924705
ILMN_1699334,0.0001244169139649
ILMN_1670117,9.353805478262907e-05
ILMN_1805104,9.078976148943032e-05
ILMN_2404407,0.0001832862291844
ILMN_1766054,7.188900541619445e-05
ILMN_1753388,5.944068087630166e-05
ILMN_2070570,8.909840780310344e-05
ILMN_2232084,0.000144950802084
ILMN_1750250,0.0001769561146855
ILMN_2361400,0.0001498078032992
ILMN_1704579,0.0001380730175972
ILMN_1687636,0.0001380152873597
ILMN_1747627,8.558973732619885e-05
ILMN_1758523,0.0001262710575036
ILMN_1794965,6.919342855419013e-05
ILMN_1722286,9.607066371023614e-05
ILMN_1784176,3.182678137639093e-05
ILMN_1749001,0.0001307038943241
ILMN_1701551,0.0001705484783762
ILMN_1795507,0.000194485903802
ILMN_1729894,9.014955465375089e-05
ILMN_1743205,6.45992451703966e-05
ILMN_2259319,0.0001387775556362
ILMN_2129886,0.0001094687801453
ILMN_1796801,0.0001884243513227
ILMN_1720501,8.910818136432741e-05
ILMN_1668446,7.869543836473875e-05
ILMN_1812070,0.0001630161449183
ILMN_2094875,0.000116030836355
ILMN_1665730,9.250147406434258e-05
ILMN_2232066,8.686900287320338e-05
ILMN_1767349,8.779772939489378e-05
ILMN_1658257,5.78270037912727e-05
ILMN_2193980,5.160990300534485e-05
ILMN_1687840,8.485120267357796e-05
ILMN_2102422,7.765061353940436e-05
ILMN_1788928,4.120094046544071e-05
ILMN_2343047,0.0001122316687942
ILMN_2343048,0.0001187939402068
ILMN_2335302,8.829309130952696e-05
ILMN_1802404,0.0001234655950561
ILMN_1776119,0.0001053988875857
ILMN_2358714,0.0001555623749236
ILMN_1732140,5.912161642904264e-05
ILMN_1713008,7.838251478517394e-05
ILMN_1762093,9.570712779540986e-05
ILMN_1709092,8.774771061955991e-05
ILMN_1678409,0.0001433256834435
ILMN_1774344,0.0001920261378078
ILMN_1676278,0.0001196525687284
ILMN_1717466,0.0003031884054411
ILMN_1677814,9.887676099435756e-05
ILMN_1788457,6.726464097917181e-05
ILMN_2194009,5.664479385098422e-05
ILMN_2302358,7.88808993299665e-05
ILMN_1706531,0.0001079726422807
ILMN_1651964,0.0001880742296262
ILMN_1725675,8.04395600106212e-05
ILMN_1778352,5.534100570019241e-05
ILMN_1725414,9.48355438126868e-05
ILMN_2293902,8.159810640585139e-05
ILMN_1801521,8.691159420751544e-05
ILMN_2406654,6.41228077260228e-05
ILMN_3246902,7.62515530493864e-05
ILMN_3244070,0.0001686965606357
ILMN_1767129,6.68437485560316e-05
ILMN_1746196,0.0001372041241063
ILMN_2366473,0.0001114939619554
ILMN_1751453,7.827515026403952e-05
ILMN_1772189,9.815534772528192e-05
ILMN_1652959,7.028053554319414e-05
ILMN_2198897,0.0001012599774611
ILMN_1674032,5.789242924559619e-05
ILMN_1737656,5.6318020734909664e-05
ILMN_2343917,9.49381178647688e-05
ILMN_1746032,7.871211916295933e-05
ILMN_1651501,0.0001605688240602
ILMN_2330267,0.000136835797855
ILMN_1676846,0.0001727019207628
ILMN_2392635,0.0001409455708979
ILMN_1763875,0.0001461374618204
ILMN_2284941,0.0001113058783412
ILMN_1781999,0.0001174398581004
ILMN_1669201,0.0001368668877988
ILMN_1810085,9.373494534334171e-05
ILMN_2262362,8.910465735827668e-05
ILMN_1743638,0.0001770552095458
ILMN_1658176,9.99639050175433e-05
ILMN_2329927,0.0001100165741169
ILMN_1794782,6.410640659197587e-05
ILMN_1695968,2.7445960912546035e-05
ILMN_1789641,8.880208156478912e-05
ILMN_1779470,0.0001309588981978
ILMN_1716592,0.0001065982546009
ILMN_1680309,0.0001188620375162
ILMN_1743371,0.0001131811307228
ILMN_1770031,0.0001530807579114
ILMN_2338268,6.710796339042353e-05
ILMN_1753912,0.0001165707684458
ILMN_1737475,0.0001000211009721
ILMN_1745116,9.377600958939284e-05
ILMN_2318685,0.0001333258836905
ILMN_2245305,0.0001307966931093
ILMN_1707925,9.708382616112992e-05
ILMN_1698311,0.0001938794452453
ILMN_2367487,7.091856530930578e-05
ILMN_1785285,9.208106107537516e-05
ILMN_2073969,4.503779518818331e-05
ILMN_1794213,7.452471735098395e-05
ILMN_2227533,0.0001697823042736
ILMN_1769390,0.0001188711254559
ILMN_2403446,7.180774076261844e-05
ILMN_1787618,0.0002264168454239
ILMN_1723662,0.0001211586743904
ILMN_1801767,0.0001313270745659
ILMN_1700633,8.518010637131704e-05
ILMN_1655702,9.837054874942738e-05
ILMN_1706344,6.141134767649065e-05
ILMN_1719498,9.211467209542029e-05
ILMN_1712707,0.0001610830306321
ILMN_1699750,0.0001013325269144
ILMN_1739081,0.0001153439922317
ILMN_2329958,8.955939088973378e-05
ILMN_1775944,8.473721813238474e-05
ILMN_1724497,0.0001383384399286
ILMN_1720988,0.0001156183150501
ILMN_1707274,8.110649190443661e-05
ILMN_1755658,8.692151589353013e-05
ILMN_1673639,9.744489544091324e-05
ILMN_1713732,8.057524626043027e-05
