,wt-SNE 1,wt-SNE 2,type
PT19,9.840045197769784,-6.739195132548253,HCC
PT62,-0.3048502291076966,0.24339965979943673,HCC
PT21,0.36244255746073606,-1.9214004686043955,HCC
PT63,4.8291950385772635,-3.2120300966395905,HCC
PT46,0.8826337007104587,-4.195809354898709,HCC
PT60,2.2231369319056626,-7.169524730847266,HCC
PT8,-0.5140392839934526,1.5353756099427296,HCC
PT66,3.4660615074851093,-6.486829011994483,HCC
PT17,7.6526918355966425,-8.65023828812026,HCC
PT58,1.7864077586383684,-7.261820907342658,HCC
PT61,4.420728551816754,-8.252258995367418,HCC
PT24,9.788928812007853,-6.7558113059435225,HCC
PT25,-1.4844624035655969,0.8252733956873995,HCC
PT54,4.6284615427037945,-6.13709971765891,HCC
PT83,8.492487239820887,-5.587335195823765,HCC
PT88,9.837872660709904,-7.875377508976214,HCC
PT85,-0.022049873940874164,0.9613790587461258,HCC
PT18,3.1293846781668466,-5.23896106372448,HCC
PT73,7.550583479409382,-8.645974637095218,HCC
PT40,0.2459037088663781,-1.8340920416812074,HCC
PT104,3.0334954882931595,-9.914358227311293,HCC
PT53,-0.6641799754174212,1.4018058045881392,HCC
PT78,4.000123439502885,-8.894629175714755,HCC
PT16,-8.980970212011337,9.989110433500365,HCC
PT97,8.936326748511734,-7.721717519583712,HCC
PT41,6.69061619672742,-7.8034497729803824,HCC
PT57,10.71971815462674,-2.7380801963702988,HCC
PT99,4.897288122349007,-8.786358018690793,HCC
PT101,7.63314242277976,-3.561735730782592,HCC
PT76,2.679099881966877,-2.564848584593977,HCC
PT98,6.790170703024119,-6.189396299179988,HCC
PT6,9.478553028570863,-5.485916022000281,HCC
PT29,8.360146386442748,-9.48087199603309,HCC
PT26,10.839390605299803,-7.240231088903162,HCC
PT3,0.9565008247986968,-0.5281008337376909,HCC
PT34,6.596285130784679,-2.8626289927056137,HCC
PT72,6.509549262245178,-9.753103774822623,HCC
PT31,4.096204184783036,-5.982262729345996,HCC
PT22,3.494302364253496,-2.539641880718124,HCC
PT32,9.742749799338391,-5.303952463406836,HCC
PT102,5.809332479807354,-7.337154421036645,HCC
PT103,5.782403751575029,-6.66597469022501,HCC
PT100,4.4426215619792115,-10.902149372104272,HCC
PT5,4.095726472331021,-3.708944693712526,HCC
PT4,6.1769694213232995,-5.007464649213386,HCC
PT7,7.7739255998618075,-6.993090963181904,HCC
PT11,8.225085218677602,-6.721420917379614,HCC
PT23,9.227365633546786,-6.64094293302554,HCC
PT36,4.842387295083891,-7.664282532391355,HCC
PT47,-9.452917693539835,9.28139677025679,HCC
PT70,-8.810466461210673,9.128938181446221,HCC
PT84,11.770500759908467,-5.626032937306437,HCC
PT14,6.674214769882824,-8.106666280100427,HCC
PT37,4.3814022765140574,-7.298040975734523,HCC
PT82,7.152025509557976,-7.924408631337043,HCC
PT51,-7.91238807989487,9.495856320397149,HCC
PT115,4.4214147030913695,-7.922909791244751,HCC
PT109,6.24899899752366,-2.719688982693102,HCC
PT107,1.8940448393038183,-9.051345197336895,HCC
PT110,3.089315087020298,-8.849237281625713,HCC
PT30,4.846246234572576,-4.995764924910759,HCC
PT33,5.299846773807736,-7.669158052174682,HCC
PT96,3.6082709565393065,-7.869981671762841,HCC
PT79,9.922854135824565,-8.031762590082378,HCC
PT94,0.7667905315663593,-3.809873062669588,HCC
PT95,4.446919422866654,-6.494770235417683,HCC
PT93,7.218192876480118,-5.376195496817197,HCC
PT114,3.7691975758713983,-3.449287158648121,HCC
PT35,8.30174882194351,-8.763926171304805,HCC
PT44,7.017489212006776,-5.309227015938245,HCC
PT2,9.209739907229768,-4.1811182655540895,HCC
PT1,11.804058192104407,-5.790787346892852,HCC
PT43,11.740196631471193,-5.32108124333303,HCC
PT48,5.420726904684877,-8.451875658375927,HCC
PT80,2.1268928230860316,-2.66443361618136,HCC
PT81,2.3322911918424616,-2.8452751165262207,HCC
PT86,0.8370676115943073,-5.328597025556195,HCC
PT87,3.0468519774382634,-3.793755045365028,HCC
PT89,7.589403342888328,-4.936815487471667,HCC
PT90,-1.1288798724946414,0.7113600408029902,HCC
PT105,5.798169483661192,-4.215643739360265,HCC
PT106,7.584529389391071,-2.21478714300643,HCC
PT113,-0.6116306739391234,0.016785932318938684,HCC
PT112,8.270976207887331,-9.405524739399748,HCC
PT111,7.005545575432345,-10.80046937381648,HCC
PT108,-0.09258840769469907,-5.108911570951173,HCC
PT9,2.9179475324546615,-8.05986392063964,HCC
PT10,8.029559270822006,-4.499091294626499,HCC
PT12,0.23421102282773013,-6.719978631608183,HCC
PT13,0.5347426614358964,-2.7529909937621353,HCC
PT15,6.0098469163491135,-4.812095773519123,HCC
PT20,5.148091973202835,-3.736576705964938,HCC
PT91,3.491618876933287,-3.0768068564527895,HCC
PT27,-1.1824370703761893,0.4343640741293503,HCC
PT28,4.444141028832089,-2.344155289000788,HCC
PT38,7.296658268029002,-4.416997624754941,HCC
PT39,7.083333196738588,-11.44566842675325,HCC
PT42,-1.4452164663588083,0.22544621712932672,HCC
PT92,5.567927350368911,-2.322369744831143,HCC
PT45,6.465212775334066,-10.640026600092073,HCC
PT49,4.505891505967191,-1.605164686642733,HCC
PT50,5.835011408503787,-5.904116616996801,HCC
PT52,4.917373791415578,-9.613332818732575,HCC
PT55,-0.6239964741126208,-3.2222756898989884,HCC
PT56,1.836450774660059,-6.490139299926114,HCC
PT59,2.8158591730805553,-3.391379293066628,HCC
PT64,0.16446609533168027,-5.33645753925681,HCC
PT65,3.082038327679149,-5.057881135434031,HCC
PT67,6.919426270159727,-6.959637519443361,HCC
PT68,2.2450666609277237,-6.667343863202684,HCC
PT69,3.3714500018850937,-1.4009394286887984,HCC
PT71,2.2371239299120047,-0.6859948499567078,HCC
PT74,3.1206930471501586,-6.5662603472303,HCC
PT75,-3.5490070546493127,1.813003851754865,HCC
PT77,0.9304259690973762,-4.8666487418562,HCC
ANTT19,-9.545004499695189,8.376755706089687,normal
ANTT62,-9.384370696119777,8.409069260609625,normal
ANTT21,-10.026383108116283,12.048945079090936,normal
ANTT63,-10.645070739158614,9.416362942806607,normal
ANTT46,-9.855970825654886,11.501202189117375,normal
ANTT60,-10.433749892648917,13.337257800811313,normal
ANTT8,-10.387372069500994,12.733713256709484,normal
ANTT66,-12.360802461351684,14.26659797646475,normal
ANTT17,-9.002561113326147,12.58439728906781,normal
ANTT58,-10.565533349262406,14.897658545867996,normal
ANTT61,-12.235148957609695,14.01028833418344,normal
ANTT24,-9.155342842846705,8.179721678482265,normal
ANTT54,-9.600133717491605,12.830322948923035,normal
ANTT83,-10.793467602848363,13.085213873055904,normal
ANTT85,-12.01609801558848,12.784823831683065,normal
ANTT18,-11.319054999331177,10.487389801973436,normal
ANTT73,-8.34826424160009,8.158902031744299,normal
ANTT53,-9.909707655198641,10.850184538212362,normal
ANTT78,-10.466818981764648,10.97612944213758,normal
