feature,value
1007_s_at,0.0005860782185013
1053_at,0.0004784939740736
117_at,0.0006129470095886
121_at,0.0004651119660592
1255_g_at,0.0005027219374378
1294_at,0.0004697615409996
1316_at,0.0007531452455367
1320_at,0.0003410303155433
1405_i_at,0.000356220289113
1431_at,0.0005426742775718
1438_at,0.0004556399526592
1487_at,0.000427181846037
1494_f_at,0.0005064210930029
1552256_a_at,0.00037007978738
1552257_a_at,0.0004350899551241
1552258_at,0.0005134740177638
1552261_at,0.0004686534567708
1552263_at,0.0004590586073981
1552264_a_at,0.0005970112492657
1552266_at,0.0004691566128419
1552269_at,0.000580217817444
1552271_at,0.0004871126063141
1552272_a_at,0.0003043080705714
1552274_at,0.0005179217941873
1552275_s_at,0.0004294524375922
1552276_a_at,0.0004866264195723
1552277_a_at,0.0004443594749953
1552278_a_at,0.0003614075883677
1552279_a_at,0.0003994535801641
1552280_at,0.0003938827618427
1552281_at,0.0006212325584882
1552283_s_at,0.0004972770138276
1552286_at,0.0004574648850515
1552287_s_at,0.0003595036977261
1552288_at,0.0004263149151337
1552289_a_at,0.0004127186485108
1552291_at,0.0004292163208941
1552293_at,0.0004660446287779
1552295_a_at,0.0004431493053309
1552296_at,0.0004227177464241
1552299_at,0.0003344421557202
1552301_a_at,0.0004327589595508
1552302_at,0.0004167189817087
1552303_a_at,0.0004739849928913
1552304_at,0.0002769742653404
1552306_at,0.0004558811713264
1552307_a_at,0.0004654688985406
1552309_a_at,0.0005668611328
1552310_at,0.0004626552228945
1552311_a_at,0.0003747962956426
1552312_a_at,0.0004864923145022
1552314_a_at,0.0003066991552274
1552315_at,0.000631393122805
1552316_a_at,0.0005716489175236
1552318_at,0.0005788929822944
1552319_a_at,0.0004368276812394
1552320_a_at,0.0003815440321083
1552321_a_at,0.0003823101802118
1552322_at,0.0004608634267675
1552323_s_at,0.0003970445852905
1552325_at,0.0002849791824008
1552326_a_at,0.0003637030148605
1552327_at,0.0004022114191422
1552329_at,0.0004291859265272
1552330_at,0.0004379007280979
1552332_at,0.0005171248376814
1552334_at,0.0004117752061618
1552335_at,0.0004159812092942
1552337_s_at,0.0005892072999457
1552338_at,0.000280649962665
1552340_at,0.0004951571181546
1552343_s_at,0.0004448554260203
1552344_s_at,0.0004660039703654
1552347_at,0.0007087044642171
1552348_at,0.0003777383926955
1552349_a_at,0.0004201329018786
1552354_at,0.0004921605613606
1552355_s_at,0.0004439604125687
1552359_at,0.0004283342169614
1552360_a_at,0.0004955241858189
1552362_a_at,0.0003648809733758
1552364_s_at,0.0005168201516906
1552365_at,0.0004081911887038
1552367_a_at,0.000436017990123
1552368_at,0.0004273402039615
1552370_at,0.0006683813793738
1552372_at,0.0006613462946952
1552373_s_at,0.0005825111848831
1552375_at,0.0003121081766195
1552377_s_at,0.0005010253130072
1552378_s_at,0.0003534544415739
1552379_at,0.0004480291596074
1552381_at,0.0005902005558916
1552383_at,0.0003701497134834
1552384_a_at,0.0002605756481173
1552386_at,0.0004316557100175
1552388_at,0.0483333521984595
1552389_at,0.0005125221918851
1552390_a_at,0.0004667435762696
1552391_at,0.0004414121326468
1552393_at,0.000414004118551
1552394_a_at,0.0002629051754107
1552395_at,0.0004888750673076
1552396_at,0.0003438262060408
1552398_a_at,0.0004638273029633
1552399_a_at,0.0004223987267461
1552400_a_at,0.00039440826987
1552401_a_at,0.0004077002372212
1552402_at,0.000421373974635
1552405_at,0.0004377161401688
1552408_at,0.0001376883521538
1552409_a_at,0.0003232133568308
1552410_at,0.0005304536404259
1552411_at,0.0003787361085626
1552412_a_at,0.0002832405946434
1552414_at,0.0004218207908163
1552415_a_at,0.0006723221126969
1552417_a_at,0.0003857858166063
1552418_at,0.0003779592493808
1552419_s_at,0.000411170843667
1552421_a_at,0.0003814163132623
1552422_at,0.0004330665298702
1552423_at,0.0004188141100708
1552424_at,0.0004090344377169
1552425_a_at,0.000626304320804
1552426_a_at,0.0003909137522514
1552427_at,0.0006176042173946
1552430_at,0.0004680975206151
1552432_at,0.0005620083996666
1552436_a_at,0.0006109548926046
1552438_a_at,0.0007942245969808
1552439_s_at,0.0004260291684203
1552440_at,0.0006097799120882
1552445_a_at,0.0003914418368103
1552448_a_at,0.0004725167711944
1552449_a_at,0.0005747101235243
1552450_a_at,0.0003878989044056
1552452_at,0.0004666297040791
1552453_a_at,0.0003721345226909
1552455_at,0.000504179022888
1552456_a_at,0.0004431260641322
1552457_a_at,0.000468697265059
1552458_at,0.0005935967487473
1552459_a_at,0.0004403165798854
1552461_at,0.000487932890948
1552463_at,0.0004921747099645
1552466_x_at,0.000485447557329
1552467_at,0.0004485096145334
1552468_a_at,0.0004898865441429
1552470_a_at,0.0005051077165485
1552472_a_at,0.000538671555852
1552473_at,0.000313651590875
1552474_a_at,0.0003254949118409
1552476_s_at,0.0003671964156369
1552477_a_at,0.0005000691573688
1552478_a_at,0.0006233593173365
1552480_s_at,0.0004080292966693
1552481_s_at,0.0004294007619128
1552482_at,0.0005811820648051
1552484_at,0.0003911488647873
1552485_at,0.0004732014062511
1552486_s_at,0.0005524627610641
1552487_a_at,0.0004315597957958
1552489_s_at,0.0005419577566641
1552490_at,0.0003995758367083
1552491_at,0.00043164626156
1552493_s_at,0.0004274487406032
1552494_at,0.000489850335525
1552496_a_at,0.000521232003856
1552497_a_at,0.0004689681898397
1552498_at,0.0005189369601313
1552499_a_at,0.0004632709825624
1552501_a_at,0.0040762247316963
1552502_s_at,0.000687078384355
1552503_at,0.0005998374110491
1552504_a_at,0.0002838219990306
1552506_at,0.0004420999069875
1552507_at,0.0005489749159872
1552508_at,0.000547742934066
1552509_a_at,0.0309770749802786
1552510_at,0.0004156297187658
1552511_a_at,0.0004867623187062
1552514_at,0.0004328259242769
1552515_at,0.0003899922385177
1552516_a_at,0.0003319161729296
1552518_s_at,0.0005462084416457
1552519_at,0.0005227228149062
1552520_at,0.0004180636075626
1552521_a_at,0.000401989121009
1552522_at,0.0004453780070927
1552523_a_at,0.00053833959019
1552524_at,0.0005353983570466
1552526_at,0.0004554348407487
1552528_at,0.0006672274446488
1552531_a_at,0.0004516909215226
1552532_a_at,0.0003866112936791
