feature,value
1007_s_at,0.000211423507547
1053_at,0.0005414467830697
117_at,0.0006318170498933
121_at,0.0002434400118456
1255_g_at,0.0002771879865466
1294_at,0.000209981086303
1316_at,0.0002143085585286
1320_at,0.000228604066435
1405_i_at,0.0003275324761453
1431_at,0.0003116408774689
1438_at,0.0002167368200304
1487_at,0.000246507320439
1494_f_at,0.0001981101316765
1598_g_at,0.0036859507442376
160020_at,0.0002676663505875
1729_at,0.0001596827768508
177_at,0.0001534373042757
1773_at,0.0017951477509908
179_at,0.0002014620184335
1861_at,0.000205224070305
200000_s_at,0.0002790899146442
200001_at,0.0002716270515066
200002_at,0.0003872809031184
200003_s_at,0.0001942492971253
200004_at,0.0002057479683033
200005_at,0.00047479272426
200006_at,0.0003220193409594
200007_at,0.0003518909118599
200008_s_at,0.0001204779719444
200009_at,0.0001851509304618
200010_at,0.0001645665909709
200011_s_at,0.0004556036188387
200012_x_at,0.0002396850247228
200013_at,0.0003159251036075
200014_s_at,0.0004204008911715
200015_s_at,0.0001714701359778
200016_x_at,0.0002280874504391
200017_at,0.0003227754538078
200018_at,0.0004713976842683
200019_s_at,0.0004531225540446
200020_at,0.0003189250403817
200021_at,0.0003019861947127
200022_at,0.0001330285111914
200023_s_at,0.0005096626676797
200024_at,0.0003034700931302
200025_s_at,0.0002096579112222
200026_at,0.0004192611982052
200027_at,0.000167405775441
200028_s_at,0.001265947162226
200029_at,0.0003280921971907
200030_s_at,0.0003781000132145
200031_s_at,0.0001828129217213
200032_s_at,0.0002462102736125
200033_at,0.0003069545912084
200034_s_at,0.0002538289782281
200035_at,0.0001962849039988
200036_s_at,0.0004339462677476
200037_s_at,0.0002796065607946
200038_s_at,0.0002440448800917
200039_s_at,0.0002222964341371
200040_at,0.0002839052453736
200041_s_at,0.0001944903678717
200042_at,0.0002071667984145
200043_at,0.0002266839946575
200044_at,0.0001985152889842
200045_at,0.0001730207178964
200046_at,0.0005611036838513
200047_s_at,0.0002081639113449
200048_s_at,0.0003192612175469
200049_at,0.0002810251452102
200050_at,0.0003644450847679
200051_at,0.0002159474094132
200052_s_at,0.0002549367299856
200053_at,0.0001505629107291
200054_at,0.0002005151603313
200055_at,0.0001872832506827
200056_s_at,0.000179415687185
200057_s_at,0.0003005035324805
200058_s_at,0.0002654713390757
200059_s_at,0.0002309811010937
200060_s_at,0.000250055941866
200061_s_at,0.0001219569537567
200062_s_at,0.0002839095745277
200063_s_at,0.0005929155906096
200064_at,0.0002105079613932
200065_s_at,0.000151708809402
200066_at,0.0004387831625106
200067_x_at,0.0002241449788508
200068_s_at,0.0003672457958518
200069_at,0.0001965662232119
200070_at,0.0004138321640138
200071_at,0.0002111246968075
200072_s_at,0.0001740215716641
200073_s_at,0.0001391945516133
200074_s_at,0.0003978684069109
200075_s_at,0.0002793909105353
200076_s_at,0.0002260268652712
200077_s_at,0.0001426306465674
200078_s_at,0.0002155565061023
200079_s_at,0.0004542965828848
200080_s_at,0.0002371074613936
200081_s_at,0.0004703627807735
200082_s_at,0.0004488751843945
200083_at,0.0002880384162856
200084_at,0.0002641960491137
200085_s_at,0.0003490413093791
200086_s_at,0.0005752775596762
200087_s_at,0.0001512241581142
200088_x_at,0.000357925618289
200089_s_at,0.0003585566554801
200090_at,0.0003429357847468
200091_s_at,0.0003015479991183
200092_s_at,0.0002879234486455
200093_s_at,0.0004754933301347
200094_s_at,0.0003018414600982
200095_x_at,0.0002845927124072
200096_s_at,0.000166624142356
200097_s_at,0.0004729970550054
200098_s_at,0.000248382585874
200099_s_at,0.0003678601868307
200593_s_at,0.0003050652752142
200594_x_at,0.0002553978244863
200595_s_at,0.000184270311723
200596_s_at,0.0004944431515666
200597_at,0.0004463388689796
200598_s_at,0.0002099637237631
200599_s_at,0.0001874902371897
200600_at,0.0003876360396121
200601_at,0.0004057005070793
200602_at,0.0006303966204163
200603_at,0.0002501432193756
200604_s_at,0.000308081851961
200605_s_at,0.0002099375506934
200606_at,0.0002484073118343
200607_s_at,0.0003847788813285
200608_s_at,0.0002921800019835
200609_s_at,0.0004188923769583
200610_s_at,0.0006997828446543
200611_s_at,0.0001716584290188
200612_s_at,0.0003657022839109
200613_at,0.0002359846540021
200614_at,0.0004509003457924
200615_s_at,0.0001651829990307
200616_s_at,0.0017130726597031
200617_at,0.000657050911256
200618_at,0.0002216748723847
200619_at,0.000214982901823
200620_at,0.0002697128054702
200621_at,0.0002043580923764
200622_x_at,0.0007844001302207
200623_s_at,0.0008400061357027
200624_s_at,0.0004946761348361
200625_s_at,0.0002791657527145
200626_s_at,0.0004398586132877
200627_at,0.0002692192026607
200628_s_at,0.0002708928279365
200629_at,0.0020572495871335
200630_x_at,0.0002903147388265
200631_s_at,0.0002618100585429
200632_s_at,0.0003584283264996
200633_at,0.0004533703799172
200634_at,0.00020540606694
200635_s_at,0.0002006940868358
200636_s_at,0.000250351485062
200637_s_at,0.0014739627225905
200638_s_at,0.0001929003591738
200639_s_at,0.000278141577359
200640_at,0.0002698173646443
200641_s_at,0.0002374938886271
200642_at,0.0001195870690993
200643_at,0.0002219051875619
200644_at,0.0001414879388855
200645_at,0.0002692348255886
200646_s_at,0.0002387479071922
200647_x_at,0.0003039384019106
200648_s_at,0.0004074941718586
200649_at,0.0003211040148139
200650_s_at,0.0002515641486898
200651_at,0.0002701931982019
200652_at,0.0002632826368585
200653_s_at,0.0004002527179291
200654_at,0.0001696263522722
200655_s_at,0.0002297692208255
200656_s_at,0.0004278867496851
200657_at,0.0002453250260608
200658_s_at,0.0002815529992056
200659_s_at,0.0002632931605221
200660_at,0.0001568872109368
200661_at,0.0003051884651565
200662_s_at,0.0003856653954121
200663_at,0.0003541565194708
200664_s_at,0.0003113032065052
200665_s_at,0.0003571121643442
200666_s_at,0.0003398757633096
200667_at,0.0004801105152029
200668_s_at,0.0003817905941342
200669_s_at,0.0003079943889198
200670_at,0.0004693402583223
200671_s_at,0.0002274768321703
200672_x_at,0.0002920548164159
200673_at,0.0003241281860417
200674_s_at,0.0003515053949829
200675_at,0.0001633779352539
200676_s_at,0.0009243021542058
200677_at,0.0016535814937352
200678_x_at,0.000525635104728
200679_x_at,0.0001684933850174
200680_x_at,0.0002974562885777
200681_at,0.0002416784902
200682_s_at,0.000145303133704
200683_s_at,0.0004228956108154
200684_s_at,0.0007491503786263
200685_at,0.0004140857038993
200686_s_at,0.0002031207650209
200687_s_at,0.0002815202439672
200688_at,0.0002734282771986
200689_x_at,0.0002737344737508
200690_at,0.000227759753184
200691_s_at,0.0002602602739646
200692_s_at,0.0001860390056843
200693_at,0.0002475856713046
200694_s_at,0.0002199595899484
200695_at,0.0002118266467219
200696_s_at,0.0001781056650065
200697_at,0.0004386304950936
200698_at,0.0001956309872036
200699_at,0.0002962480674461
200700_s_at,0.0002176242117983
200701_at,0.0002241355535771
200702_s_at,0.0001200234815738
200703_at,0.0002399366401927
200704_at,0.0003393843657019
200705_s_at,0.0002742274665328
200706_s_at,0.0003411245337452
200707_at,0.0003146137581784
200708_at,0.0002796497760662
200709_at,0.0001733850284174
200710_at,0.0003233398009985
200711_s_at,0.0001837111983656
200712_s_at,0.000232883864212
200713_s_at,0.000223686245461
200714_x_at,0.0004364242736539
200715_x_at,0.0001810804401351
200716_x_at,0.0001717018671459
200717_x_at,0.0002167480499101
200718_s_at,0.0002171488271503
200719_at,0.0001571406329794
200720_s_at,0.0002394366899907
200721_s_at,0.0003691966089193
200722_s_at,0.0002403149872422
200723_s_at,0.000419805791893
200724_at,0.0001829922734928
200725_x_at,0.0005464192685447
200726_at,0.0002399364775415
200727_s_at,0.00023156956743
200728_at,0.0002602656574163
200729_s_at,0.0002041334884236
200730_s_at,0.0002316845432873
200731_s_at,0.000188271140651
200732_s_at,0.0002981947841468
200733_s_at,0.0004701671578108
200734_s_at,0.0002880436055573
200735_x_at,0.0002231964871616
200736_s_at,0.0003283082457244
200737_at,0.0002057609546558
200738_s_at,0.0003112523906265
200739_s_at,0.0002132228020657
200740_s_at,0.0003705783039712
200741_s_at,0.0003629652942977
200742_s_at,0.0004809216891865
200743_s_at,0.0003358561512913
200744_s_at,0.0002166910841518
200745_s_at,0.0001427186695291
200746_s_at,0.0003008022342129
200747_s_at,0.0001683550609451
200748_s_at,0.0001627730545326
200749_at,0.0003100564693547
200750_s_at,0.0003870808122995
200751_s_at,0.0003652206905026
200752_s_at,0.0002648962916696
200753_x_at,0.0002505510845256
200754_x_at,0.000206602075057
200755_s_at,0.0002040602081129
200756_x_at,0.0001936084449178
200757_s_at,0.0001679066424106
200758_s_at,0.0012252254848023
200759_x_at,0.0007352346775293
200760_s_at,0.0001869212147011
200761_s_at,0.0003878010297934
200762_at,0.0002677974296199
200763_s_at,0.000269374743998
200764_s_at,0.0001974150628187
200765_x_at,0.0006095356607854
200766_at,0.0002221689351525
200767_s_at,0.0010978765037021
200768_s_at,0.0002545606464876
200769_s_at,0.0001801700677582
200770_s_at,0.0010054831334781
200771_at,0.0002575382093094
200772_x_at,0.000266687810704
200773_x_at,0.0004179865545382
200774_at,0.0003528178499828
200775_s_at,0.0001909305951607
200776_s_at,0.0002601505284543
200777_s_at,0.0002737611656239
200778_s_at,0.0001715157463163
200779_at,0.000246255969214
200780_x_at,0.0002985263832646
200781_s_at,0.0002232663443715
200782_at,0.0001705893915506
200783_s_at,0.0001355200247673
200784_s_at,0.0002113417159135
200785_s_at,0.0002054340776075
200786_at,0.0004622929057502
200787_s_at,0.0013269849975822
200788_s_at,0.0019939033161232
200789_at,0.0003948042774103
200790_at,0.0001917831807057
200791_s_at,0.0002342335384165
200792_at,0.0002593939921371
200793_s_at,0.0001824109783993
200794_x_at,0.0004407645416656
200795_at,0.0003870104244743
200796_s_at,0.0002805998590173
200797_s_at,0.0003046191238156
200798_x_at,0.0002802518186612
200799_at,0.0005927642180961
200800_s_at,0.0002551997244724
200801_x_at,0.0007082019568833
200802_at,0.0001748784492123
200803_s_at,0.0001578761439687
200804_at,0.0002876997105285
200805_at,0.0001859177869093
200806_s_at,0.0002324732966093
200807_s_at,0.0003491504112792
200808_s_at,0.0004561669373574
200809_x_at,0.0004056727615858
200810_s_at,0.0001347527724349
200811_at,0.0002106428687135
200812_at,0.0002198194248129
200813_s_at,0.0001986243917019
200814_at,0.0002717962183801
200815_s_at,0.0002958557622349
200816_s_at,0.0003264538989658
200817_x_at,0.0002790674090856
200818_at,0.0002734919064427
200819_s_at,0.0003112344688421
200820_at,0.0004366258041169
200821_at,0.0002379729755361
200822_x_at,0.0001301314961055
200823_x_at,0.0003703470926267
200824_at,0.0005088439962623
200825_s_at,0.0005610276618219
200826_at,0.0002790465075577
200827_at,0.000338254414607
200828_s_at,0.0003216457631053
200829_x_at,0.0001580049081437
200830_at,0.0002401934177648
200831_s_at,0.000347448022952
200832_s_at,0.0006837528982619
200833_s_at,0.0001985937918783
200834_s_at,0.0004604400052416
200835_s_at,0.0002000685491646
200836_s_at,0.0002157034562056
200837_at,0.0002151671827327
200838_at,0.0001751278049188
200839_s_at,0.0003432400195005
200840_at,0.0004812995144033
200841_s_at,0.0002755963210059
200842_s_at,0.0001968105056439
