feature,value
1000_at,0.0005320877639373
1001_at,0.0004359254697531
1002_f_at,0.0006143428828108
1003_s_at,0.0019928574305764
1004_at,0.0002453122193864
1005_at,0.000304163820898
1006_at,0.0004808812299537
1007_s_at,0.0006745931178012
1008_f_at,0.0013286728788147
1009_at,0.0002162797209679
100_g_at,0.0004121552299502
1010_at,0.0005694171162167
1011_s_at,0.0002387004598646
1012_at,0.0007218714319994
1013_at,0.0004070460684696
1014_at,0.0334406601648298
1015_s_at,0.0006111804779095
1016_s_at,0.0006589953603772
1017_at,0.0004086639234254
1018_at,0.0005161822754759
1019_g_at,0.0026073562330289
101_at,0.0003356568180114
1020_s_at,0.0002971137865381
1021_at,0.0014974822989969
1022_f_at,0.00251029622902
1023_at,0.0009636897959841
1024_at,0.0029262897134026
1025_g_at,0.000539753163721
1026_s_at,0.0004316973882416
1027_at,0.0004279816734979
1028_at,0.000346540446837
1029_s_at,0.000506945101144
102_at,0.0056945588959478
1030_s_at,0.0004505179935052
1031_at,0.0002302920444246
1032_at,0.0014392684008207
1033_g_at,0.0004283823917208
1034_at,0.0032794579911565
1035_g_at,0.0004565323500294
1036_at,0.0021082019341507
1037_at,0.0016244665586378
1038_s_at,0.0004757173142616
1039_s_at,0.0003781330144224
103_at,0.0002441496330691
1040_s_at,0.0005991937561298
1041_at,0.0073422459485426
1042_at,0.0005205008093876
1043_s_at,0.0004316812546871
1044_s_at,0.0010347218663431
1045_s_at,0.0003955218879337
1046_at,0.0002299810627842
1047_s_at,0.0008404907692441
1048_at,0.0001895562708102
1049_g_at,0.0106869391799023
104_at,0.000351709107793
1050_at,0.0005288086043563
1051_g_at,0.0023614607707698
1052_s_at,0.0003713913455047
1053_at,0.0014183571681373
1054_at,0.0004224922944752
1055_g_at,0.0006618232937658
1056_s_at,0.0002670339389481
1057_at,0.0029425853382219
1058_at,0.0005307548217509
1059_at,0.0006822013718075
105_at,0.0001333690957423
1060_g_at,0.0018126501165989
1061_at,0.0002382853320097
1062_g_at,0.0005372946382661
1063_s_at,0.0009681100093071
1064_at,0.000473411957501
1065_at,0.0006102928857077
1066_at,0.0007130453472958
1067_at,0.0005688234572537
1068_g_at,0.0006101307445478
1069_at,0.0014870202000359
106_at,0.0003892294370502
1070_at,0.0003670033108389
1071_at,0.0006570716259874
1072_g_at,0.0003455623203369
1073_at,0.0003637046854808
1074_at,0.0002376177369532
1075_f_at,0.0002626544906925
1076_at,0.0073611793267404
