,wt-SNE 1,wt-SNE 2,type
GSM152992.CEL,-4.214050221553796,1.5464150341106402,primary_prostate_tumor
GSM152993.CEL,1.2359629516187918,4.496589488519689,primary_prostate_tumor
GSM152994.CEL,2.8159081115057196,2.8168381974411,primary_prostate_tumor
GSM152995.CEL,-5.375926519124274,-0.23772325639141817,primary_prostate_tumor
GSM152996.CEL,-6.532841817151296,-0.3508756556083784,primary_prostate_tumor
GSM152997.CEL,-6.594023171745465,-1.2162881467022855,primary_prostate_tumor
GSM152998.CEL,-5.500725773082562,-1.2851938169328596,primary_prostate_tumor
GSM152999.CEL,-5.3082952641666985,-4.289722295353913,primary_prostate_tumor
GSM153000.CEL,-6.452769584193518,-3.227893953216232,primary_prostate_tumor
GSM153001.CEL,-6.704182245899902,-2.840277137181648,primary_prostate_tumor
GSM153002.CEL,-1.0060841735654533,-2.6588102734038483,primary_prostate_tumor
GSM153003.CEL,-5.099428398094417,3.0499783360203723,primary_prostate_tumor
GSM153004.CEL,-4.164553498602642,2.658046859824465,primary_prostate_tumor
GSM153005.CEL,1.9464800042980641,3.4243361226434366,primary_prostate_tumor
GSM153006.CEL,-5.487997139203446,-4.352125796077605,primary_prostate_tumor
GSM153007.CEL,4.773874583589902,3.6096187208517936,primary_prostate_tumor
GSM153008.CEL,2.258391290989588,0.9634372758401671,primary_prostate_tumor
GSM153009.CEL,-5.552204846156829,-1.2003639733901441,primary_prostate_tumor
GSM153010.CEL,-5.114582264877592,-2.695565230678562,primary_prostate_tumor
GSM153011.CEL,-5.08234446166846,-2.975228187528705,primary_prostate_tumor
GSM153012.CEL,2.470736507652665,-0.8754829994867293,primary_prostate_tumor
GSM153013.CEL,3.1305498083984378,-0.8953436106503981,primary_prostate_tumor
GSM153014.CEL,-0.17192488175950635,-1.2374019842228507,primary_prostate_tumor
GSM153015.CEL,-3.1966723336818954,-4.816244026046554,primary_prostate_tumor
GSM153016.CEL,-5.766950195457567,-5.208864300787184,primary_prostate_tumor
GSM153017.CEL,-3.114873251894582,-1.9650649417171637,primary_prostate_tumor
GSM153018.CEL,-3.3860788863718296,-5.273848630715028,primary_prostate_tumor
GSM153019.CEL,-0.18364181119498268,0.5028120592011056,primary_prostate_tumor
GSM153020.CEL,-2.4542870287607523,2.76338815392783,primary_prostate_tumor
GSM153021.CEL,-3.416174565102032,-1.4298727881645303,primary_prostate_tumor
GSM153022.CEL,-4.903007574156444,3.089121308023229,primary_prostate_tumor
GSM153024.CEL,-1.805058878394219,-0.32055894350867886,primary_prostate_tumor
GSM153025.CEL,1.8394608151380671,-3.0523734504172007,primary_prostate_tumor
GSM153026.CEL,0.9895903158127307,1.8652068302974891,primary_prostate_tumor
GSM153028.CEL,0.9074701843757046,-0.27835584782886025,primary_prostate_tumor
GSM153029.CEL,-2.36095872986748,-2.0604680933112474,primary_prostate_tumor
GSM153030.CEL,-0.07077603366469419,-0.9754947727639148,primary_prostate_tumor
GSM153031.CEL,1.7258330856310837,-2.05949582594299,primary_prostate_tumor
GSM153032.CEL,-2.4442422265824426,-2.596955607146964,primary_prostate_tumor
GSM153033.CEL,-0.22293255743568016,-3.157410676744499,primary_prostate_tumor
GSM153034.CEL,-1.2574951241874603,-1.4376232939271947,primary_prostate_tumor
GSM153035.CEL,-1.6525255652521984,-3.6043273745609374,primary_prostate_tumor
GSM153036.CEL,-4.253610930133819,4.119303456620999,primary_prostate_tumor
GSM153037.CEL,0.562583829369477,-1.8863042511860415,primary_prostate_tumor
GSM153038.CEL,-0.39492305616388534,-1.9331571869323354,primary_prostate_tumor
GSM153039.CEL,-3.151858485603126,0.18828833341279044,primary_prostate_tumor
GSM153040.CEL,-3.8890176102663414,-3.207240779078514,primary_prostate_tumor
GSM153041.CEL,-2.747827608332131,-3.338483879523633,primary_prostate_tumor
GSM153042.CEL,2.3621269965208596,2.07403949962906,primary_prostate_tumor
GSM153043.CEL,-3.7307778823088364,-3.9547285004376915,primary_prostate_tumor
GSM153044.CEL,-3.637902911208717,-3.261545312019329,primary_prostate_tumor
GSM153045.CEL,-3.9755794501442776,-4.234185082190761,primary_prostate_tumor
GSM153046.CEL,-3.5192248827285564,-3.2989653648258934,primary_prostate_tumor
GSM153047.CEL,-3.8703866975531813,-2.1919863938465682,primary_prostate_tumor
GSM153048.CEL,-2.446449201913809,-0.35422066198587515,primary_prostate_tumor
GSM153049.CEL,-1.9452734448429088,-1.1895690170286617,primary_prostate_tumor
GSM153050.CEL,-1.4287809681235388,-0.21455273196221183,primary_prostate_tumor
GSM153051.CEL,-2.179867283730257,1.94909666823446,primary_prostate_tumor
GSM153052.CEL,4.248805907266972,1.6428023407966916,primary_prostate_tumor
GSM153053.CEL,-3.3583682896043214,-5.576206069300819,primary_prostate_tumor
GSM187528.CEL,-4.843536150586625,-5.7586855154676915,primary_prostate_tumor
GSM187529.CEL,-3.8814212327955273,0.4186016820605844,primary_prostate_tumor
GSM187530.CEL,-2.9919538114256277,1.4686335518047673,primary_prostate_tumor
GSM187531.CEL,-2.124381153066117,1.521340266387657,primary_prostate_tumor
GSM153178.CEL,-0.9071113389494742,3.846615689432511,normal
GSM153179.CEL,3.7204762426700797,0.35374978347357705,normal
GSM153180.CEL,5.465389948092518,-2.112747072534736,normal
GSM153181.CEL,3.1438045244662898,1.632747271890023,normal
GSM153182.CEL,4.402766305134381,5.382865517849162,normal
GSM153183.CEL,-0.996025946597691,5.7013709676963,normal
GSM153184.CEL,1.9203660771126585,-0.43173066541849453,normal
GSM153185.CEL,5.297457829924317,2.0649370789522723,normal
GSM153186.CEL,0.801141309190082,3.007225617552562,normal
GSM153187.CEL,-2.547592194987991,4.232468391641319,normal
GSM153188.CEL,-2.6289420027524724,4.229125041157424,normal
GSM153189.CEL,2.0501311089866388,-1.4718931872131347,normal
GSM153190.CEL,2.8299264992023807,-0.00221055353328474,normal
GSM153191.CEL,1.0563635966708762,6.191923853236846,normal
GSM153192.CEL,2.248217136675745,5.750611612482392,normal
GSM153193.CEL,6.312251176489662,2.3319367309236596,normal
GSM153194.CEL,2.3104838010508564,-4.678655235646562,normal
GSM153195.CEL,4.889990319626114,-1.3332859396624734,normal
GSM153196.CEL,3.0054750609195087,0.6690676652755418,normal
GSM153197.CEL,2.1628156728934145,4.736949505619883,normal
GSM153198.CEL,4.01572251553091,-3.5216632603880575,normal
GSM153199.CEL,-0.38834828524668474,-4.178800463965937,normal
GSM153200.CEL,-2.112114995604127,-4.734932331902775,normal
GSM153201.CEL,-0.9512302749176674,0.5563727739108557,normal
GSM153202.CEL,4.382688791874069,4.688866437860518,normal
GSM153203.CEL,0.016744030333959322,0.954804316435513,normal
GSM153204.CEL,3.008680472888852,-3.6144601075586866,normal
GSM153205.CEL,4.478507034697306,2.6161109456001164,normal
GSM153206.CEL,-0.737110294442882,6.49250478464683,normal
GSM153207.CEL,2.4008089323374526,0.6105157314091639,normal
GSM153208.CEL,6.268492571728835,3.805127599930678,normal
GSM153209.CEL,3.0114661976942294,4.06907453617565,normal
GSM153210.CEL,2.993756036874829,-2.887856983319165,normal
GSM153211.CEL,3.252463745941261,-3.4860397131608405,normal
GSM153212.CEL,3.7588940116263942,-1.0481534048700447,normal
GSM153213.CEL,-0.16886467527421678,2.603236658338203,normal
GSM153214.CEL,2.7414733291441533,3.694062559884784,normal
GSM153215.CEL,1.4797408677866357,1.9252160645157996,normal
GSM153216.CEL,3.0188641279961645,3.590031966071413,normal
GSM153217.CEL,3.7590832204909668,-0.5519919066035752,normal
GSM153218.CEL,-6.971201575879266,1.8644508254669458,normal
GSM153219.CEL,2.145715809236923,-4.563318279181208,normal
GSM153220.CEL,-1.7775372617258913,-6.272082925363628,normal
GSM153221.CEL,4.969971193918855,-0.04313495258693272,normal
GSM153222.CEL,6.174253269759854,0.06750807072777053,normal
GSM153223.CEL,3.5825084210984994,2.6117415625086804,normal
GSM153224.CEL,0.55330581778227,1.1895015263922224,normal
GSM153225.CEL,3.5032965909320364,-2.147650830347988,normal
GSM153226.CEL,5.3382315672003084,3.4628607331511483,normal
GSM153227.CEL,4.778303238327151,-2.351067546586688,normal
GSM153228.CEL,5.549882823861066,1.295899828450402,normal
GSM153229.CEL,3.8878297285903174,3.2347560572182332,normal
GSM153230.CEL,1.94770087076268,2.6750377746301943,normal
GSM153231.CEL,5.451582146692038,-1.1669165686955814,normal
GSM153232.CEL,5.581055935222117,-1.3821053105336405,normal
GSM153233.CEL,5.034365521687475,2.0550387101856513,normal
GSM153234.CEL,0.6651659138742522,3.526749535594779,normal
GSM153235.CEL,-0.8855782998247506,2.4411318614386293,normal
GSM153236.CEL,-0.058588913925302626,4.34878478763211,normal
GSM153237.CEL,3.463610396344708,2.2769083142598774,normal
