,wt-SNE 1,wt-SNE 2,type
GSM153054.CEL,1.5994998715726751,4.246897989033373,primary_prostate_tumor
GSM153055.CEL,-0.4696876958970449,-0.6791994683856121,primary_prostate_tumor
GSM153056.CEL,0.14457875018523458,5.374948532967231,primary_prostate_tumor
GSM153057.CEL,-2.176502047199217,-4.0563208294078565,primary_prostate_tumor
GSM153058.CEL,-2.602252098263528,-3.984734026418213,primary_prostate_tumor
GSM153059.CEL,-3.295545895281325,-3.3553617332991585,primary_prostate_tumor
GSM153061.CEL,-0.202514869309335,-3.9183035354038833,primary_prostate_tumor
GSM153063.CEL,-0.41695178821173523,-2.5847966488363014,primary_prostate_tumor
GSM153064.CEL,4.2906531185662,-0.6016566846061733,primary_prostate_tumor
GSM153066.CEL,-0.43593903725701266,5.102967637261561,primary_prostate_tumor
GSM153067.CEL,2.349222499416474,-0.7753212276068173,primary_prostate_tumor
GSM153068.CEL,-3.840147803547958,-3.7024542429728347,primary_prostate_tumor
GSM153069.CEL,1.4970305255990979,-1.4503093258107915,primary_prostate_tumor
GSM153070.CEL,3.1124065401917504,-2.7805970353700515,primary_prostate_tumor
GSM153072.CEL,4.462380623665376,0.6021471541423052,primary_prostate_tumor
GSM153073.CEL,3.5446598706793004,-1.317987266694751,primary_prostate_tumor
GSM153074.CEL,-2.1773189452443518,-0.16585857891475111,primary_prostate_tumor
GSM153075.CEL,-2.637751061051393,-0.2665862329077461,primary_prostate_tumor
GSM153076.CEL,2.6915786743421704,0.8814175744435395,primary_prostate_tumor
GSM153077.CEL,1.8593577966598764,1.5043808125523193,primary_prostate_tumor
GSM153078.CEL,-3.109914789440255,1.2910898423822748,primary_prostate_tumor
GSM153079.CEL,-2.1070748116197,1.790749852943216,primary_prostate_tumor
GSM153080.CEL,-0.19282968512181253,0.997704277897429,primary_prostate_tumor
GSM153081.CEL,-3.833777084497469,1.9886478357128108,primary_prostate_tumor
GSM153082.CEL,2.6122795040581552,2.5426112842447495,primary_prostate_tumor
GSM153083.CEL,-1.9923166721469663,1.666830965019113,primary_prostate_tumor
GSM153084.CEL,-2.497083572493587,3.1058222886501103,primary_prostate_tumor
GSM153085.CEL,-2.1099068126511917,2.9947539245085437,primary_prostate_tumor
GSM153086.CEL,-0.9922403790603412,2.237591706867286,primary_prostate_tumor
GSM153087.CEL,0.20516964086812345,-0.5757768322156153,primary_prostate_tumor
GSM153088.CEL,2.376852803558234,1.2529475523026783,primary_prostate_tumor
GSM153089.CEL,-2.0172356781137433,4.233839888082555,primary_prostate_tumor
GSM153090.CEL,-0.23790550257147114,-0.149138900604059,primary_prostate_tumor
GSM153091.CEL,-1.0914123852738105,1.4926542042788784,primary_prostate_tumor
