feature,value
48609_r_at,0.0012561311066734
48610_at,0.0007310778773574
48612_at,0.0008630168330149
48613_at,0.0080989417186273
48615_at,0.000857714000611
48617_at,0.0008685630627291
48619_at,0.0046129190445388
48620_at,0.0006035736692039
48622_at,0.0031940136643131
48624_at,0.0028216785884192
48626_at,0.0007258997656764
48628_at,0.0008320268090079
48629_s_at,0.0034991275275604
48630_r_at,0.0007385044575432
48631_at,0.0068044016816828
48633_at,0.0008582822755931
48634_at,0.0009503721934486
48640_g_at,0.012909303962035
48643_r_at,0.0034223367009445
48645_at,0.0008747345879285
48647_at,0.0007088871961546
48649_at,0.0006411292876251
48651_at,0.0020318490175694
48654_r_at,0.0008499864963762
48656_at,0.000805497020538
48657_at,0.0010408829307742
48659_at,0.004415822358256
48662_at,0.003099643145639
48664_at,0.0006694383537314
48666_at,0.0009903891488867
48668_at,0.0007741380249636
48670_at,0.0010772162141897
48672_at,0.0005555330168535
48673_at,0.001294806514508
48674_at,0.0018258417368705
48675_at,0.0007995258940119
48676_at,0.0007519984439216
48677_at,0.0008097981556599
48678_at,0.0012890541936554
48679_at,0.0006190253839711
48680_at,0.0006235685654706
48682_at,0.0005998405373026
48684_at,0.0872690629770957
48685_at,0.0030109319963511
48690_r_at,0.0007847836244797
48691_at,0.0062364209942997
48692_at,0.0008785098623482
48694_at,0.0007922533079584
48695_at,0.0009123761521564
48698_at,0.0007644993336478
48699_at,0.0009790126854045
48700_at,0.0005813857867666
48702_r_at,0.0011529308503072
48705_at,0.0010398032182861
48707_at,0.0009964798422822
48708_at,0.0061986361104299
48709_at,0.0010005826920455
48710_at,0.0010973019785052
48711_at,0.0045450159668672
48712_s_at,0.0012964239844067
48714_r_at,0.0008347500950185
48718_at,0.0011318842419773
48720_at,0.0009079039277218
48722_at,0.0007367837109744
48723_at,0.0029247829969748
48726_at,0.0015717733194586
48728_r_at,0.000713814865598
48729_at,0.000843599521113
48731_at,0.0012431065946738
48732_at,0.0006386580641442
48733_at,0.002252343968119
48734_at,0.0009181157090154
48735_i_at,0.0007088581731439
48736_f_at,0.0007214396131848
48737_at,0.001479463388851
48738_at,0.0007409508731575
48739_at,0.0005499131331222
48741_at,0.0007428457986319
48743_at,0.0010259919784295
48744_g_at,0.0006488376373924
48746_at,0.0005950880341006
48749_at,0.0012829979158176
48751_at,0.0003079432198897
48753_at,0.0062434574593985
48754_at,0.0011848075641293
48756_at,0.0008559335520457
48759_r_at,0.0007812685214615
48762_r_at,0.0028915825038088
48763_at,0.0059096044206375
48764_at,0.0008808223175355
48765_s_at,0.0010226155801821
48766_at,0.0100602707888697
48767_at,0.004271993320609
48769_at,0.0007070823464264
48770_at,0.000803757168423
48771_at,0.0019397475147445
48772_at,0.0086784541656974
48773_at,0.0010628138286786
48774_at,0.0116406516890593
48775_at,0.0011837803919426
48776_at,0.0013111583280731
48777_at,0.0006500879300473
48778_at,0.0103665710808775
48779_at,0.0010396666580851
48780_at,0.0011238354895626
48782_at,0.0010828863077541
48784_at,0.0008981743138868
48785_at,0.0072819682603169
48787_g_at,0.0005813945849214
48788_at,0.0006621483170319
48789_at,0.0013360322461048
48791_at,0.0008587435722777
48792_at,0.0010674626252458
48793_at,0.0006780088380143
48795_at,0.0014336867709319
48797_at,0.0011028345888918
48798_at,0.0006667714103507
48799_at,0.0010941717828175
48800_at,0.0008354403243606
48801_at,0.0010243370567899
48803_at,0.0062107624529776
48804_r_at,0.0372371030120891
48806_at,0.0009806398332696
48808_at,0.0010348598482696
48810_at,0.0011171993717099
48812_at,0.0006278272702281
48814_at,0.0010710708456679
48815_at,0.0009644887547538
48816_g_at,0.0087926049779473
