,wt-SNE 1,wt-SNE 2,type
62,2.0591093475177877,7.454255312027885,ccRCC
64,2.65783297697126,9.34390065676343,ccRCC
66,0.9315854203884725,2.4483609978867675,ccRCC
68,4.563212174574958,10.574880365643446,ccRCC
70,2.4769459667590006,3.50428855555489,ccRCC
72,2.4166427027099107,8.421676915178027,ccRCC
74,3.4702584252929385,8.446548020803634,ccRCC
76,2.883029798359427,8.736631040527215,ccRCC
78,2.0221058425227514,6.828810571813659,ccRCC
80,1.8875750944384182,6.3215333335719155,ccRCC
82,2.3669120659926706,8.372466265425922,ccRCC
84,3.5711414302470206,8.681645244668278,ccRCC
86,3.0756811391520253,6.342757261968728,ccRCC
88,-1.1819277313092023,-4.131358619489236,ccRCC
90,2.0577518052364656,5.222857222732822,ccRCC
93,-3.079477463565103,-4.669570565612859,ccRCC
95,-5.12045443507528,-4.548729437530806,ccRCC
97,-2.174800286048742,-3.1535083670366086,ccRCC
99,-3.650091117036181,-4.002965572492616,ccRCC
101,-3.611877166640253,-4.441473405182588,ccRCC
103,-4.443760537669234,-4.515490146033344,ccRCC
105,-4.337250905746987,-4.3908002203787575,ccRCC
107,-4.481602542473718,-4.318187974649917,ccRCC
110,2.678046833738036,10.791736425956636,ccRCC
112,1.5720833762730166,7.036239869525561,ccRCC
114,2.0804794228245638,9.163007041340581,ccRCC
116,1.3004663097382128,9.007991370432075,ccRCC
118,1.8682787551650328,10.161038014355979,ccRCC
120,4.872959527103393,8.355021149651412,ccRCC
122,2.465256034462923,8.166957873452022,ccRCC
124,2.5606700398653954,7.891961818781565,ccRCC
126,4.177787716673797,6.5480668481087205,ccRCC
128,2.7150613612056316,9.090009863528367,ccRCC
130,0.4492418093319455,8.350768301246962,ccRCC
132,3.8295233300163702,10.700827018121178,ccRCC
134,3.0736299724156018,5.486317147595191,ccRCC
136,3.0088776025466344,7.148738703038522,ccRCC
138,3.3480788759945392,6.324649348816471,ccRCC
141,4.986551572685974,5.86788982401787,ccRCC
143,2.056735723209502,5.013877172243597,ccRCC
145,0.9450407546031885,6.672777085780517,ccRCC
147,4.3896837939119004,5.535398090078007,ccRCC
148,1.8973950336185204,11.261217506557317,ccRCC
150,3.8101541993554404,6.188216806130569,ccRCC
152,1.131954643259288,7.621203057978419,ccRCC
154,4.784383532618883,7.103441008457749,ccRCC
156,1.7273930578524717,8.356413065009471,ccRCC
158,4.251555090926112,9.366435243967329,ccRCC
160,0.5953500012250829,7.077996837122248,ccRCC
162,3.7866510789538963,7.548473276299969,ccRCC
164,2.4913550170540164,6.639713570081407,ccRCC
166,5.878479887516147,7.474875929200227,ccRCC
168,3.8501405377105318,8.798816371269806,ccRCC
170,2.5326261680101623,10.084504339519473,ccRCC
172,5.650297410469197,6.069406670488424,ccRCC
174,5.018296421363621,6.65453505781772,ccRCC
176,3.612449358519755,9.356923997329394,ccRCC
178,3.7832443422665984,10.606650344959677,ccRCC
180,3.111827251507827,9.696254904033442,ccRCC
182,0.5438691300958722,9.861658208147118,ccRCC
184,4.3043707831178635,9.904678698125434,ccRCC
186,4.767575907107136,9.308118294007908,ccRCC
188,3.906967091312265,7.185011856428872,ccRCC
191,5.428725304824821,9.804058474063217,ccRCC
193,4.338241297747497,4.702095657649893,ccRCC
195,4.00837011610551,12.023340584279229,ccRCC
197,5.292455316668003,11.372588786418353,ccRCC
199,4.403247516710681,10.787931039573479,ccRCC
201,2.9054076067198005,5.651239121014961,ccRCC
203,5.966517901676623,8.58338782322373,ccRCC
205,-2.862609463107282,-4.497976328735368,ccRCC
63,-3.6697552247433527,-11.474838740272805,normal
65,-1.0677496141851925,-9.10516661104642,normal
67,0.4422893569567708,1.992537706827857,normal
69,-2.5047610281954658,-5.968938589611546,normal
71,-0.9819518529302635,-8.331274221011489,normal
73,-2.998001138915135,-10.658627883030869,normal
75,-4.371708967228788,-10.684229424229343,normal
77,-3.4065027153678344,-8.498649884659821,normal
79,-3.921575441380013,-7.481325793746217,normal
81,-2.3936626703130357,-7.37076005906701,normal
83,-1.5984102544968064,-10.730889829591579,normal
85,-2.3325298041176965,-9.49799638417182,normal
87,-5.308052623416084,-5.884174756387659,normal
89,-5.2115308572054255,-6.953853254149875,normal
91,-3.5873816878120097,-6.006611207301118,normal
94,0.7735925930304351,4.744367983951387,normal
96,-0.07849400813623542,6.107486083590162,normal
98,0.21129333728028976,4.3658580378145935,normal
100,-0.10443445901335748,5.558471923216608,normal
102,0.777354282185562,5.35434333678382,normal
104,-0.19832951589978426,5.668671949970232,normal
106,-0.40340965847464216,5.178870900592744,normal
108,0.7270089997853137,4.607147217543092,normal
109,-4.449031645276372,-5.6698709720610285,normal
111,-2.6936693960652747,-7.466934226106459,normal
113,-4.065522947566078,-6.24021998349273,normal
115,-0.6488950785217108,-8.061806433930688,normal
117,0.2638049754405531,-7.631516421434425,normal
119,-2.1632994791940425,-7.858439404830498,normal
121,-2.9368801710823678,-8.946464353657738,normal
123,-4.034154380134638,-7.789027470606397,normal
125,-1.8446319997733054,-8.510232348784442,normal
127,-2.966955084692448,-6.892130774337128,normal
129,-3.7260682586915848,-6.452896279732979,normal
131,-3.2252091061994412,-11.23401414972784,normal
133,-2.940642257947915,-9.945343773989926,normal
135,-4.632797876234477,-9.028068984577907,normal
137,-4.967112171461774,-6.761877375162262,normal
139,-3.156593757150565,-5.63975881774068,normal
140,-4.203444986721498,-7.337888914452671,normal
142,-6.262581634612013,-8.817842475973038,normal
144,0.027382359064874257,-6.269924779943109,normal
146,-5.971384534086442,-7.825295877553078,normal
149,-1.6318511596718965,-8.993291645921905,normal
151,-3.1922557427823692,-9.511077869342062,normal
153,-0.6132822345915608,-7.679280092881,normal
155,-0.8648577908940335,-7.460863123119922,normal
157,-2.5371165124087,-8.606082223893502,normal
159,-3.142350978182537,-7.886468167160051,normal
161,-1.7938756430317633,-7.316103155751367,normal
163,-2.2973033126138023,-6.212594384893891,normal
165,-2.443100977416738,-10.043569269926605,normal
167,0.047646254134876276,1.142326674995926,normal
169,-1.914091157406966,-10.935150914234168,normal
171,0.4422474434797141,-8.612936599624152,normal
173,-2.067135536141549,-5.953774528211504,normal
175,-1.5241086429134159,-5.912016330323592,normal
177,-4.211244590977526,-9.256964409182613,normal
179,-1.0914271106123556,-6.338580463511263,normal
181,-0.46122760184451195,-8.705877675950703,normal
183,-1.8212251248325022,-9.942564474969192,normal
185,-3.5880419638606704,-11.63347544983206,normal
