,PC 1 (0.240886521886776),PC 2 (0.0699796965776479),type
62,-122.23201303534057,-40.938933423285235,ccRCC
64,-139.63249985499917,-48.27478548102559,ccRCC
66,-86.00590392918753,-33.23739472996387,ccRCC
68,-66.29016101793609,102.32867173854872,ccRCC
70,-38.81677125046891,-33.401655226038855,ccRCC
72,-151.45581947961978,-25.793951108073983,ccRCC
74,-123.73866562408165,-6.681000044781917,ccRCC
76,-141.639819696337,-14.979629106129284,ccRCC
78,-129.7850918873514,-66.72206302962867,ccRCC
80,-139.711944726131,-50.01053884401779,ccRCC
82,-102.5300245246339,11.45680966261451,ccRCC
84,-104.4356906956188,49.83324990430988,ccRCC
86,-84.58324112540173,-37.58695739384641,ccRCC
88,-6.358339146206271,-62.65964456159323,ccRCC
90,-141.0820558529353,-9.928396577790423,ccRCC
93,73.58082693493536,-52.35578206321601,ccRCC
95,182.7122526401408,32.65697915608482,ccRCC
97,-23.70312118754368,-71.39155094093171,ccRCC
99,30.53513574736858,-97.2821230076534,ccRCC
101,74.76356847498042,-89.08334714141137,ccRCC
103,97.88453506067901,-40.13630577114413,ccRCC
105,81.37893388048222,-56.025783192217546,ccRCC
107,118.08271534360912,3.4162928218063104,ccRCC
110,-100.58302948460405,7.331895576070263,ccRCC
112,-91.79195413471206,1.1079919575946453,ccRCC
114,-84.61391657380406,73.2482521065757,ccRCC
116,-88.37747786584234,30.36857899691232,ccRCC
118,-135.85071413219632,-52.796895556757526,ccRCC
120,-43.961726978043025,116.07137227746811,ccRCC
122,-144.06789149552554,-42.40769373934708,ccRCC
124,-107.46355145969252,-34.54367201606476,ccRCC
126,-143.48519991372754,-24.072469783272638,ccRCC
128,-127.0395802372637,-15.736489731960383,ccRCC
130,-100.76089810879273,104.78041788326962,ccRCC
132,-83.30837885807829,55.61572456844711,ccRCC
134,-82.767915529955,30.784638083809007,ccRCC
136,-88.98726649277816,0.7097947203898755,ccRCC
138,-136.62743551471857,-33.45070470592704,ccRCC
141,-58.26764644494621,145.6292589520557,ccRCC
143,-149.29777017838595,-3.875608127849834,ccRCC
145,-125.60019315795073,-37.85727789981628,ccRCC
147,-98.14879276560495,73.03046651003592,ccRCC
148,-96.68899171461167,73.95463822344868,ccRCC
150,-120.51390287958134,54.88096463125534,ccRCC
152,-46.336444320365814,52.518316427712776,ccRCC
154,-101.21385295328382,91.75581024147984,ccRCC
156,-112.85002000806611,-9.513650023555416,ccRCC
158,-109.22829330006279,36.42160854293857,ccRCC
160,-54.931215887407,20.080024981780273,ccRCC
162,-92.51661645485584,47.93500725443639,ccRCC
164,-117.68057979255128,6.48642288584111,ccRCC
166,-94.97805008458455,88.57006259449155,ccRCC
168,-109.32299094176466,41.549873737501514,ccRCC
170,-114.11706498647257,35.00207775070325,ccRCC
172,-134.5253309381476,84.68915650739547,ccRCC
174,-116.83930788817167,69.10745553324155,ccRCC
176,-148.0248671665229,51.19437543241272,ccRCC
178,-59.85857710910321,10.550344127925223,ccRCC
180,-102.22631711258875,3.7585800073753446,ccRCC
182,-124.97374177251633,7.318313130062478,ccRCC
