,wt-SNE 1,wt-SNE 2,type
62,-2.8137065067774634,7.009270107989741,ccRCC
64,-3.942134229218417,8.345537837631463,ccRCC
66,0.15112542274978974,0.5414287164525502,ccRCC
68,-7.952359340775298,4.1632219995548345,ccRCC
70,-0.08362725616965112,-1.4388168013576197,ccRCC
72,-2.338532032819405,6.12392722931739,ccRCC
74,-3.656815350091485,4.715871374016471,ccRCC
76,-3.1428361034779644,5.09629054089458,ccRCC
78,-3.3437986371487076,6.610891068006501,ccRCC
80,-3.363710435022336,6.740977397329165,ccRCC
82,-2.5932709731428516,5.169319152788623,ccRCC
84,-3.378894691851517,3.5328820077836047,ccRCC
86,-5.503171409784871,5.922368552825284,ccRCC
88,1.485531262342103,-1.2878386739848489,ccRCC
90,-3.888090570040068,3.3565693978532334,ccRCC
93,3.123428928838614,-3.638208603434833,ccRCC
95,6.852908153961307,-5.763653557234013,ccRCC
97,0.3749818612767327,-1.048980091760282,ccRCC
99,2.103734254694113,-2.8631952267566394,ccRCC
101,2.952364685430603,-3.3325896455802235,ccRCC
103,4.527706558238174,-3.660355908240912,ccRCC
105,4.175343959498834,-3.086105538182389,ccRCC
107,5.689045998647452,-4.0569761888731435,ccRCC
110,-1.2364716306452594,4.985864641982183,ccRCC
112,-1.8156342334147166,4.972390075336683,ccRCC
114,-5.4654781011369185,3.759906369208011,ccRCC
116,-4.990376243716768,4.054979769885236,ccRCC
118,-2.4065050897480478,6.159163528432775,ccRCC
120,-8.435530759784049,3.076085024182301,ccRCC
122,-2.9472129387137884,6.095883020675616,ccRCC
124,-2.7653746440590536,5.99589281093375,ccRCC
126,-4.69503364252206,6.939868449911538,ccRCC
128,-3.089772433307454,5.207253066639012,ccRCC
130,-4.814154922378131,3.495149020172265,ccRCC
132,-3.7862166811936913,4.403713984959474,ccRCC
134,-6.034436516290829,5.592336736669185,ccRCC
136,-5.707843188032825,6.379786589493823,ccRCC
138,-3.806100811401212,5.6829130962345875,ccRCC
141,-7.399606748822277,2.749479412174129,ccRCC
143,-5.167911178383417,7.615604467542211,ccRCC
145,-1.8469773047324458,7.603876404133664,ccRCC
147,-7.847519056013674,3.7810891507132434,ccRCC
148,-5.600242205093467,2.5088312828869306,ccRCC
150,-5.868430107806859,2.9267818972035027,ccRCC
152,-4.845046099407888,4.770719701717384,ccRCC
154,-6.283393899162855,3.4309719269791508,ccRCC
156,-2.0846996158397695,6.0752214342071404,ccRCC
158,-3.4724822442260233,2.8168763894802415,ccRCC
160,-4.489806004336343,4.901967238870833,ccRCC
162,-6.023660929910863,4.375368051269113,ccRCC
164,-5.023714547294941,5.639929819402876,ccRCC
166,-7.890334239666647,3.9956999042728554,ccRCC
168,-3.257858828369429,3.832630460353985,ccRCC
170,-3.01379394288882,4.058933397562075,ccRCC
172,-8.659023565179904,5.120118580329141,ccRCC
174,-7.173751446690274,3.7034740164337263,ccRCC
176,-3.3668638031450158,2.266150097203383,ccRCC
178,-2.8065274283022577,8.426872316447847,ccRCC
180,-1.6867546383184615,3.9534244353394206,ccRCC
182,-0.9576791764058183,6.499303453062658,ccRCC
184,-4.213862254784096,1.996825545509783,ccRCC
186,-6.538939133679859,1.7279146027800036,ccRCC
188,-2.6365558089192156,2.974570775864573,ccRCC
191,-0.958816925852403,1.0919753203328357,ccRCC
193,-8.671732066131737,3.204931112671648,ccRCC
195,-7.5490295177315225,1.552163327127927,ccRCC
197,-5.125335973395905,0.5949214134291466,ccRCC
199,-4.969491849777508,0.9460627537747506,ccRCC
201,-6.946008239096956,3.721286962129883,ccRCC
203,-7.676187976526423,4.820656231272422,ccRCC
205,0.8935629082994518,-3.6318198928638186,ccRCC
63,2.025040349064432,-6.067652769638573,normal
65,5.678134653294473,-8.438241100144339,normal
67,0.3478194786528796,0.7804971295725558,normal
69,2.3440199276813867,-4.466214096322766,normal
71,5.256976138967108,-5.504110606362588,normal
73,3.4117312086397162,-5.824471010673588,normal
75,1.3865870989074593,-3.3444363275423252,normal
77,3.4606871876365894,-3.0244167700162157,normal
79,4.801940450602229,-3.7705019134712927,normal
81,4.075829233315819,-4.419253984088109,normal
83,6.840303029069159,-7.2074903437501145,normal
85,5.963338297150173,-6.656426546604304,normal
87,4.865248164667699,-1.627538946960872,normal
89,1.7405599156976452,-1.8758732528111222,normal
91,4.4553700099133025,-4.041999792663143,normal
94,-4.476976146033445,5.113850414364364,normal
96,-4.717212954330807,5.168880503340683,normal
98,-3.493164249080888,7.039744072665618,normal
100,-3.4748710145206156,7.2427374864087435,normal
102,-2.126169637786375,7.478004211620365,normal
104,-3.890622663684764,7.013602069223049,normal
106,-4.0202331117416845,6.502603163356884,normal
108,-4.317014816032994,5.347104136276718,normal
109,2.5849549948501744,-3.3295353715024314,normal
111,2.4445334758006703,-4.775092560858831,normal
113,2.0871625851488322,-4.061955980208959,normal
115,4.3883994701331375,-6.708652723837405,normal
117,5.461508016298936,-7.468101895657992,normal
119,4.195182570472965,-5.218889018590245,normal
121,3.848591902475784,-5.380893211859461,normal
123,4.487024867993237,-4.2622308778275535,normal
125,7.025806349904592,-5.75685378754996,normal
127,2.2036818987669773,-2.9213742836691026,normal
129,4.064707942811932,-3.7505299579012683,normal
131,2.380272342322139,-5.52489659087065,normal
133,6.186028056553251,-6.714964167768759,normal
135,7.354982178222086,-5.5921624237608825,normal
137,5.220053938838795,-4.356070072042994,normal
139,2.3039816060701157,-3.2942746125761606,normal
140,5.799395908907284,-3.8600147856583553,normal
142,0.14288721375192853,-3.580740747844755,normal
144,7.001161503224679,-4.6753204900239105,normal
146,0.7856134690065862,-4.165169199346005,normal
149,6.247319429605941,-7.9412447481315365,normal
151,3.4568222915173683,-2.0139846446683234,normal
153,4.749422849455813,-8.032869034177267,normal
155,4.377974806918237,-6.991354700213379,normal
157,5.252581760956107,-5.515367938924191,normal
159,4.095721071323467,-5.093414305869112,normal
161,4.846834564549604,-4.999654482459868,normal
163,3.463936238309509,-4.240829599266484,normal
165,7.836632037556237,-4.770336970399542,normal
167,0.5023171886440986,0.03376447528011353,normal
169,6.261691267656606,-6.622448743960587,normal
171,5.728136677265129,-6.422144885180603,normal
173,2.747440859717499,-2.073836017024711,normal
175,0.7722074822781283,-0.3379894626155368,normal
177,8.208527203459719,-5.482995558752763,normal
179,3.1590662043493074,-1.3111247785692794,normal
181,3.9674534626402296,-7.097932876047708,normal
183,8.128674750497137,-6.363400609803575,normal
185,1.045340026753861,-5.4471246618942075,normal
187,0.6266247209774455,1.0436186204534896,normal
189,4.528630112198815,-5.7389577829508225,normal
190,5.907476679225348,-5.1478420809427154,normal
192,6.1460718535605166,-2.806148224888227,normal
194,6.988814503879195,-3.2309225792925798,normal
196,7.549161113875926,-7.058800745363291,normal
198,7.022969572469196,-6.9347896269866744,normal
200,6.357215638817035,-4.998758414089609,normal
202,6.213730689131611,-4.226462198116598,normal
204,-6.572653764610914,5.796846287061972,normal
