feature,value
1007_s_at,0.0002621347371684
1053_at,0.0003632778672543
117_at,0.0003806416141418
121_at,0.0003841712724248
1255_g_at,0.0002825884740307
1294_at,0.0002419746471007
1316_at,0.0003815540796935
1320_at,0.0003165831874691
1405_i_at,0.0003006411927745
1431_at,0.000405286657307
1438_at,0.0003799588910594
1487_at,0.0004439536277101
1494_f_at,0.0004773859748066
1552256_a_at,0.0004604176212459
1552257_a_at,0.000257483875987
1552258_at,0.0003913008532901
1552261_at,0.0003135480251517
1552263_at,0.00033360000733
1552264_a_at,0.000270673816237
1552266_at,0.000522997381847
1552269_at,0.0006901169465895
1552271_at,0.0003288195666532
1552272_a_at,0.0003796850440071
1552274_at,0.0003427483065236
1552275_s_at,0.0004369809999958
1552276_a_at,0.0003108934778639
1552277_a_at,0.0003324354975854
1552278_a_at,0.0002260338442094
1552279_a_at,0.0003032973289074
1552280_at,0.0004432432438079
1552281_at,0.0005001132223124
1552283_s_at,0.0010023552536449
1552286_at,0.0003460817157836
1552287_s_at,0.0004229150175411
1552288_at,0.0005513733327698
1552289_a_at,0.0002992980123145
1552291_at,0.0004404813855868
1552293_at,0.0006283525157203
1552295_a_at,7.381598726865697e-05
1552296_at,0.0003308531173902
1552299_at,0.0002413511061724
1552301_a_at,0.0003670749387981
1552302_at,0.0015615084438285
1552303_a_at,0.000474987629441
1552304_at,0.0002530044288389
1552306_at,0.0004003337978841
1552307_a_at,0.0002947389225547
1552309_a_at,0.0004086604714343
1552310_at,0.0003792764762198
1552311_a_at,0.0003866623731216
1552312_a_at,0.00026546914683
1552314_a_at,0.0003790753856977
1552315_at,0.0003655821660608
1552316_a_at,0.0003365660963498
1552318_at,0.0004189319268564
1552319_a_at,0.000451786557941
1552320_a_at,0.0003819385882369
1552321_a_at,0.0004629598000055
1552322_at,0.00018229923511
1552323_s_at,0.000368937766584
1552325_at,0.001785292779593
1552326_a_at,0.0003037975347637
1552327_at,0.0003505374660757
1552329_at,0.0003129219656297
1552330_at,0.0005313050538192
1552332_at,0.000403924820634
1552334_at,0.0004357709252624
1552335_at,0.0004106906621556
1552337_s_at,0.000295009874129
1552338_at,0.0005269221881253
1552340_at,0.0002747775711641
1552343_s_at,0.000213235758542
1552344_s_at,0.0006093932299358
1552347_at,0.0001954518048783
1552348_at,0.0002918830362507
1552349_a_at,0.0006226892185632
1552354_at,0.0003552555033999
1552355_s_at,0.0003400336693624
1552359_at,0.0004447200045542
1552360_a_at,0.0003184441921716
1552362_a_at,0.007138282373633
1552364_s_at,0.0004124210538865
1552365_at,0.0176375074586686
1552367_a_at,0.0275427695713783
1552368_at,0.0003960748283519
1552370_at,0.0004518928894408
1552372_at,0.0004364640009343
1552373_s_at,0.0005259432260183
1552375_at,0.0005205810388547
1552377_s_at,0.0004378221196798
1552378_s_at,0.0004712226538524
1552379_at,0.0009865544926379
1552381_at,0.0006003730366239
1552383_at,0.0003918139683034
1552384_a_at,0.0002847972575596
1552386_at,0.000277919578474
1552388_at,0.000209349236885
1552389_at,0.0004557125682676
1552390_a_at,0.0003455503688372
1552391_at,0.0002846486179576
1552393_at,0.0002244399677098
1552394_a_at,0.0010066612204916
1552395_at,0.0003651504764624
1552396_at,0.0002911199295083
1552398_a_at,0.0005057725516155
1552399_a_at,0.0009826812925342
1552400_a_at,0.0002644639886131
1552401_a_at,0.0003711849034779
1552402_at,0.0003177392211832
1552405_at,0.0003033996594116
1552408_at,0.0004366157259181
1552409_a_at,0.0005898593421425
1552410_at,0.0007557654136341
1552411_at,0.0007137265281844
1552412_a_at,0.0004416838324195
1552414_at,0.0002856393186502
1552415_a_at,0.0004272772869954
1552417_a_at,0.0003455892214768
1552418_at,0.0003322836644739
1552419_s_at,0.0008597367896121
1552421_a_at,0.0002658118331114
1552422_at,0.0003271587651112
1552423_at,0.0003699493351612
1552424_at,0.0004900760262084
1552425_a_at,0.0002718756583228
1552426_a_at,0.0004361533771942
1552427_at,0.0004032139420552
1552430_at,0.0002565629496281
1552432_at,0.0002695403858601
1552436_a_at,0.0003234363370209
1552438_a_at,0.0002811989686643
1552439_s_at,0.0003591394484422
1552440_at,0.0014436643205972
1552445_a_at,0.0001813096107927
1552448_a_at,0.0006814827039832
1552449_a_at,0.000240596238746
1552450_a_at,0.0003700061862983
1552452_at,0.0004483338815018
1552453_a_at,0.0004244294351668
1552455_at,0.0002833657357406
1552456_a_at,0.0005060107612199
1552457_a_at,0.0004761848735044
1552458_at,0.0003854827507723
1552459_a_at,0.0005608353301272
1552461_at,0.0005982289661604
1552463_at,0.0002574876266531
1552466_x_at,0.0003730994970774
1552467_at,0.0004390629421834
1552468_a_at,0.0004134102745012
1552470_a_at,0.0007949798816602
1552472_a_at,0.0003337466236965
1552473_at,0.0003085158022762
1552474_a_at,0.0002890144956476
1552476_s_at,0.0006069766804715
1552477_a_at,0.0003705425166734
1552478_a_at,0.0003003104722398
1552480_s_at,0.002196347574189
1552481_s_at,0.0004614194720391
1552482_at,0.0006643930836349
1552484_at,0.0003184176190118
1552485_at,0.0004732544123053
1552486_s_at,0.0003901314012576
1552487_a_at,0.001919870341463
1552489_s_at,0.0002187028260506
1552490_at,0.0003745798686669
1552491_at,0.0003739907902776
1552493_s_at,0.0004274075498365
1552494_at,0.0004536789047691
1552496_a_at,0.0036248984805943
1552497_a_at,0.0004099286011826
1552498_at,0.0004449058327941
1552499_a_at,0.0004888826681661
1552501_a_at,0.0002666285798602
1552502_s_at,0.0002602893211415
1552503_at,0.0003774430814622
1552504_a_at,0.0004530621018833
1552506_at,0.0003897719902621
1552507_at,0.0006786862746268
1552508_at,0.0007098128015309
1552509_a_at,0.0002455604815114
1552510_at,0.0003756775404322
1552511_a_at,0.0004291955149635
1552514_at,0.0003068467545447
1552515_at,0.0004931434707409
1552516_a_at,0.0004348040582386
1552518_s_at,0.0003471981564405
1552519_at,0.0002524236071372
1552520_at,0.0003216644755359
1552521_a_at,0.0021655590364258
1552522_at,0.0003032448426977
1552523_a_at,0.0001947811953698
1552524_at,0.000359971395635
1552526_at,0.0004380205537908
