,wt-SNE 1,wt-SNE 2,type
79,-5.287463831134234,-1.0569607987604028,oral_cavity_cancer
80,-8.064609814398295,-0.33117459813171046,oral_cavity_cancer
81,-5.754006966595635,-0.22139825645603825,oral_cavity_cancer
82,-7.011120160206907,1.4751227383581187,oral_cavity_cancer
83,-3.48788850388093,-2.1566147296790787,oral_cavity_cancer
84,-6.557635760398358,-3.242541867833788,oral_cavity_cancer
85,-5.4683692101884,-3.322913808995106,oral_cavity_cancer
86,-5.163522068602858,-2.6623806926749976,oral_cavity_cancer
87,2.906414239694261,-5.600690914995987,oral_cavity_cancer
88,3.017416415243161,-5.626905361617617,oral_cavity_cancer
89,-1.5477456048865605,1.0655016563684376,oral_cavity_cancer
90,-5.198210509247115,-2.1508386471744476,oral_cavity_cancer
91,-2.2352897062381065,-0.7379631963383931,oral_cavity_cancer
92,-1.1585702311701227,-0.6947937873095018,oral_cavity_cancer
93,-2.8599772423058494,1.8357009062649619,oral_cavity_cancer
94,-3.566944468225885,0.4045321429373355,oral_cavity_cancer
95,-3.414159325196579,2.3867984044911483,oral_cavity_cancer
96,-4.416018782930039,-1.168210495297243,oral_cavity_cancer
97,-1.60397143170926,-0.21634730995424561,oral_cavity_cancer
98,-1.0523139621113644,-0.2975647113149418,oral_cavity_cancer
99,-0.942239160546155,-6.7230800254684135,oral_cavity_cancer
100,-2.730838470523036,-1.4458214472561732,oral_cavity_cancer
101,-3.3173718095405866,1.6569656714506713,oral_cavity_cancer
102,-3.2511359507106237,0.5210431284446243,oral_cavity_cancer
103,-1.420037561226123,1.2958164331614277,oral_cavity_cancer
104,-0.5946100287261796,-6.72646678300952,oral_cavity_cancer
105,-2.2485396742731893,-0.046484771836228664,oral_cavity_cancer
107,2.8988278386577813,-2.053519970599918,oral_cavity_cancer
109,4.40300336910485,0.4420039100187771,oral_cavity_cancer
111,3.047314491804954,-2.1966122794959007,oral_cavity_cancer
114,0.17255138779456797,1.6058726604187168,oral_cavity_cancer
116,3.899690514169879,-1.8644774207991082,oral_cavity_cancer
117,-0.6925682407008714,-3.5021654360581116,oral_cavity_cancer
119,-1.7074420072401237,-5.694354170277928,oral_cavity_cancer
120,3.3386442683315187,-1.4322020241476643,oral_cavity_cancer
121,-2.3994432748534957,4.252966795642937,oral_cavity_cancer
122,4.428512413460536,3.624932199576515,oral_cavity_cancer
124,-0.542824664948892,-3.457205903551697,oral_cavity_cancer
125,-1.9735619611232325,2.741344443614884,oral_cavity_cancer
128,2.21920585844215,-3.2309962190909083,oral_cavity_cancer
129,0.7183159599340996,-3.007042913384636,oral_cavity_cancer
131,3.161627294561115,-3.163797193901935,oral_cavity_cancer
133,3.0784234767702747,5.058782917619967,oral_cavity_cancer
134,7.139584324744406,1.5408875342079884,oral_cavity_cancer
136,6.710050663063998,3.067818812038522,oral_cavity_cancer
137,7.001031535496246,2.8848288277954715,oral_cavity_cancer
139,5.303524184213876,4.536537158952464,oral_cavity_cancer
141,6.805822496314252,1.5085390211872036,oral_cavity_cancer
143,6.283600894594308,-0.9616454265759691,oral_cavity_cancer
145,0.5902217955390126,-1.6557026605273857,oral_cavity_cancer
146,1.809816913634161,0.716441530435282,oral_cavity_cancer
147,5.618119954754878,-1.366653058289637,oral_cavity_cancer
149,5.346858652321835,-1.3776588912862162,oral_cavity_cancer
150,0.6877122867796935,-2.342620245893506,oral_cavity_cancer
151,4.6323066204213035,2.8530461192784817,oral_cavity_cancer
155,4.1428338745929265,5.158684370719702,oral_cavity_cancer
156,5.3071499258221655,1.448656511822643,oral_cavity_cancer
158,5.252383515747464,2.2023236487459057,oral_cavity_cancer
160,6.012977960204057,0.317334699318079,oral_cavity_cancer
162,7.504602490382172,-0.3324538502129891,oral_cavity_cancer
164,-0.0530801928179684,-4.200905962460717,oral_cavity_cancer
167,4.882175410930167,-0.7620442102693563,oral_cavity_cancer
169,3.8480380453220984,2.6696540120355317,oral_cavity_cancer
171,-7.045599424759104,-0.12654556457931374,oral_cavity_cancer
172,-5.321129235973847,3.9101804124503627,oral_cavity_cancer
173,-5.217889219025397,3.9854291093844814,oral_cavity_cancer
174,-5.936083493319886,1.4967282507926123,oral_cavity_cancer
175,-5.28598161338459,0.4782125646965424,oral_cavity_cancer
176,-6.842595291309401,-0.9662649488674019,oral_cavity_cancer
177,-6.052189313209321,-1.0966905787768237,oral_cavity_cancer
178,-7.9737987241269535,-1.1848852304633486,oral_cavity_cancer
179,-6.011862665573891,0.8474727984230624,oral_cavity_cancer
180,-6.1296101044853994,0.6957097591343843,oral_cavity_cancer
181,-7.191517164943821,-1.651449943847955,oral_cavity_cancer
106,0.16993236542373377,3.4598726224571754,normal
108,-0.6564337813164707,3.951269606494326,normal
110,3.484798625187923,0.7450999717428959,normal
112,2.682459840684021,1.7944295127887624,normal
113,2.137643109822087,2.472395226962587,normal
115,4.00631602532658,0.12321421637160608,normal
118,-2.0031645189682092,-6.034764992822301,normal
123,-2.2811043954272843,-6.218704841648856,normal
126,3.2078778764153517,2.4604329637057694,normal
127,1.134744834386135,4.568634859287909,normal
130,-0.10247412292803607,5.703240689319852,normal
132,1.3188709951919106,-0.641670079765105,normal
135,1.394347086507705,1.9082883162267523,normal
138,2.927762588544096,3.35120726410717,normal
140,-1.9290441184698697,-4.840656228058536,normal
142,0.8359489563805494,2.5940579131544803,normal
144,-2.0933728685405413,-4.288066059163058,normal
148,-0.9217722529419379,-4.994588831634571,normal
152,1.7523065168940286,3.722990840578328,normal
153,2.547583034206644,3.1483744554260187,normal
154,1.18133327127652,5.499307516212436,normal
157,1.6479835641139908,3.554745532263543,normal
159,1.9207663770830539,2.7686140313639305,normal
161,4.070705664257326,1.2458618329505158,normal
163,1.5169501475805964,0.1702310150832442,normal
165,-0.299271745425731,-5.368546351210994,normal
166,1.2328863346688856,0.45133518344507645,normal
168,2.700914166827007,0.6444204957104017,normal
170,0.9755141771603578,1.42015047632565,normal
